date,Predictions_update,Actuals,Predictions
2021-10-27,23.382465,23.3,23.382465
2021-10-28,23.270693,24.6,23.282743
2021-10-29,23.452448,24.5,23.25552
2021-10-30,23.36458,23.7,23.26815
2021-10-31,23.19942,21.3,23.300993
2021-11-01,22.888151,23.5,23.343601
2021-11-02,23.315151,22.9,23.395432
2021-11-03,23.260277,24.2,23.453245
2021-11-04,23.5249,25.1,23.512165
2021-11-05,23.685656,23.3,23.56691
2021-11-06,23.379776,22.7,23.612076
2021-11-07,23.32288,22.7,23.643833
2021-11-08,23.360645,24.7,23.659239
2021-11-09,23.708471,24.6,23.658585
2021-11-10,23.661327,23.8,23.636887
2021-11-11,23.483318,25.4,23.593813
2021-11-12,23.732101,23.4,23.51942
2021-11-13,23.291534,22.9,23.41263
2021-11-14,23.133667,22.8,23.29893
2021-11-15,23.044174,22.9,23.187113
2021-11-16,23.022898,24.7,23.11568
2021-11-17,23.36801,22.3,23.051947
2021-11-18,22.852484,23.3,23.019184
2021-11-19,22.992277,23.3,22.955359
2021-11-20,22.915558,24.4,22.889736
2021-11-21,23.093756,23.2,22.850168
2021-11-22,22.783697,22.4,22.802631
2021-11-23,22.592676,22.7,22.76829
2021-11-24,22.639292,22.8,22.771864
2021-11-25,22.65884,22.7,22.776705
2021-11-26,22.645325,23.5,22.727596
2021-11-27,22.785114,22.7,22.692999
2021-11-28,22.653923,22.9,22.650204
2021-11-29,22.692646,23.5,22.622698
2021-11-30,22.703743,22.2,22.598267
2021-12-01,22.392586,23.0,22.512146
2021-12-02,22.533754,24.5,22.466335
2021-12-03,22.814922,24.6,22.439857
2021-12-04,22.882372,23.5,22.532663
2021-12-05,22.763004,22.2,22.629242
2021-12-06,22.50452,24.3,22.673346
2021-12-07,22.825783,23.1,22.711287
2021-12-08,22.578245,23.2,22.739115
2021-12-09,22.576221,23.9,22.758146
2021-12-10,22.722347,24.8,22.780619
2021-12-11,22.953415,24.2,22.795597
2021-12-12,22.883762,24.1,22.808258
2021-12-13,22.921227,24.2,22.819101
2021-12-14,23.019827,23.8,22.83268
2021-12-15,23.003489,23.0,22.845716
2021-12-16,22.85177,24.3,22.84661
2021-12-17,22.976088,23.2,22.865366
2021-12-18,22.772554,23.4,22.885101
2021-12-19,22.836132,21.9,22.890745
2021-12-20,22.452429,22.7,22.903648
2021-12-21,22.633871,21.2,22.927853
2021-12-22,22.329851,22.2,22.952013
2021-12-23,22.533573,22.6,22.980305
2021-12-24,23.11078,23.1,23.009737
2021-12-25,23.418453,22.5,23.033981
2021-12-26,23.374554,22.2,23.050795
2021-12-27,23.274494,22.4,23.065657
2021-12-28,23.346449,22.5,23.077593
2021-12-29,23.354513,23.0,23.08645
2021-12-30,23.46366,21.7,23.09131
2021-12-31,23.195692,22.6,23.091541
2022-01-01,23.3094,22.2,23.078825
2022-01-02,23.21017,22.9,23.059324
2022-01-03,23.294725,20.5,23.03279
2022-01-04,22.881681,22.4,23.000582
2022-01-05,23.001003,22.3,22.963133
2022-01-06,22.917805,22.9,22.924194
2022-01-07,22.943058,22.8,22.88517
2022-01-08,22.925945,22.1,22.849709
2022-01-09,22.822823,22.2,22.82092
2022-01-10,22.77656,21.4,22.791761
2022-01-11,22.665594,21.3,22.769245
2022-01-12,22.62066,21.8,22.756212
2022-01-13,22.633379,21.7,22.754642
2022-01-14,22.617466,22.5,22.765032
2022-01-15,22.66739,21.4,22.786753
2022-01-16,22.579325,21.8,22.819283
2022-01-17,22.544785,21.7,22.86226
2022-01-18,22.497038,21.5,22.912937
2022-01-19,22.423231,22.1,22.96913
2022-01-20,22.397232,22.5,23.03223
2022-01-21,22.426565,21.8,23.087471
2022-01-22,22.373142,22.3,23.122486
2022-01-23,22.365826,22.8,23.141174
2022-01-24,22.432657,22.4,23.15913
2022-01-25,22.449392,23.3,23.17765
2022-01-26,22.57815,23.6,23.18074
2022-01-27,22.74093,23.0,23.171736
2022-01-28,22.787813,22.8,23.153316
2022-01-29,22.799234,22.7,23.127188
2022-01-30,22.79802,23.1,23.095942
2022-01-31,22.856121,23.0,23.063097
2022-02-01,22.893333,23.5,23.032536
2022-02-02,23.037106,22.4,23.007973
2022-02-03,22.92258,21.6,22.992489
2022-02-04,22.637564,22.4,22.988235
2022-02-05,22.600737,23.0,22.996307
2022-02-06,22.685934,23.7,23.016998
2022-02-07,22.916412,24.0,23.049006
2022-02-08,23.147064,22.6,23.089945
2022-02-09,23.0523,22.1,23.13681
2022-02-10,22.832026,23.3,23.187815
2022-02-11,22.96475,23.7,23.24012
2022-02-12,23.14161,22.6,23.29015
2022-02-13,22.997032,22.5,23.334652
2022-02-14,22.869236,22.2,23.370771
2022-02-15,22.695955,21.2,23.396534
2022-02-16,22.348572,22.3,23.411646
2022-02-17,22.364403,21.4,23.416895
2022-02-18,22.224823,21.5,23.4148
2022-02-19,22.184513,21.6,23.392288
2022-02-20,22.173353,21.9,23.361712
2022-02-21,22.203205,22.0,23.328796
2022-02-22,22.238546,20.5,23.287638
2022-02-23,22.102102,22.1,23.23931
2022-02-24,22.11482,23.3,23.175564
2022-02-25,22.311264,21.8,23.101416
2022-02-26,22.306679,22.7,23.037012
2022-02-27,22.374357,23.0,22.983137
2022-02-28,22.494436,22.1,22.93899
2022-03-01,22.474165,22.4,22.90543
2022-03-02,22.475779,22.5,22.882076
2022-03-03,22.49792,21.8,22.867012
2022-03-04,22.424314,22.8,22.858538
2022-03-05,22.483444,22.9,22.85678
2022-03-06,22.572662,22.8,22.860416
2022-03-07,22.633072,22.3,22.86842
2022-03-08,22.603682,21.9,22.880154
2022-03-09,22.513884,23.8,22.895206
2022-03-10,22.729977,22.6,22.913168
2022-03-11,22.743742,22.7,22.933535
2022-03-12,22.749468,22.2,22.955734
2022-03-13,22.675358,23.4,22.979187
2022-03-14,22.812603,23.5,22.98957
2022-03-15,22.958897,23.7,22.997713
2022-03-16,23.091166,22.9,23.005297
2022-03-17,23.104937,22.5,23.009687
2022-03-18,22.97838,23.4,23.011406
2022-03-19,23.094852,23.6,23.014908
2022-03-20,23.17733,22.1,23.02142
2022-03-21,22.938517,22.9,23.029795
2022-03-22,22.942606,23.3,23.038568
2022-03-23,23.035051,22.4,23.046614
2022-03-24,22.828947,22.9,23.052938
2022-03-25,22.843958,22.9,23.056728
2022-03-26,22.833462,22.9,23.057386
2022-03-27,22.825504,23.1,23.054499
2022-03-28,22.879347,24.2,23.04779
2022-03-29,23.176315,22.0,23.037136
2022-03-30,22.796648,22.3,23.0227
2022-03-31,22.684067,22.4,23.00508
