date,Predictions_update,Actuals,Predictions
2021-10-27,87.02663,90.0,87.02663
2021-10-28,88.56626,85.0,87.403206
2021-10-29,86.708595,83.0,87.64143
2021-10-30,85.78694,88.0,87.79845
2021-10-31,87.90354,93.0,87.896835
2021-11-01,90.09478,84.0,87.96043
2021-11-02,86.70342,88.0,88.00012
2021-11-03,87.97409,85.0,88.041534
2021-11-04,86.95271,81.0,88.08103
2021-11-05,85.153305,86.0,88.12197
2021-11-06,86.98363,93.0,88.16473
2021-11-07,90.12109,91.0,88.20547
2021-11-08,89.63504,85.0,88.24686
2021-11-09,87.19768,84.0,88.275635
2021-11-10,86.405975,88.0,88.299614
2021-11-11,87.94147,83.0,88.31568
2021-11-12,86.075005,91.0,88.33418
2021-11-13,89.184265,90.0,88.350624
2021-11-14,89.2019,93.0,88.36687
2021-11-15,90.23378,89.0,88.380974
2021-11-16,88.81602,83.0,88.39518
2021-11-17,86.54333,94.0,88.41053
2021-11-18,90.19884,89.0,88.42312
2021-11-19,88.85021,89.0,88.4404
2021-11-20,88.733406,85.0,88.464645
2021-11-21,87.354546,91.0,88.489174
2021-11-22,89.21733,94.0,88.518105
2021-11-23,90.40046,93.0,88.54405
2021-11-24,90.146385,92.0,88.57048
2021-11-25,89.728065,92.0,88.595024
2021-11-26,89.60094,86.0,88.62083
2021-11-27,87.77793,89.0,88.64754
2021-11-28,88.283005,90.0,88.674385
2021-11-29,88.5308,85.0,88.69825
2021-11-30,87.053925,89.0,88.71862
2021-12-01,87.81011,86.0,88.737785
2021-12-02,86.998726,82.0,88.75403
2021-12-03,85.56497,83.0,88.76682
2021-12-04,85.27461,84.0,88.771645
2021-12-05,85.24657,92.0,88.77346
2021-12-06,88.0587,82.0,88.77445
2021-12-07,85.42102,89.0,88.7759
2021-12-08,87.2865,88.0,88.776825
2021-12-09,87.44005,86.0,88.77278
2021-12-10,86.846115,80.0,88.76672
2021-12-11,84.44129,86.0,88.76251
2021-12-12,86.03947,85.0,88.755066
2021-12-13,85.97097,80.0,88.74861
2021-12-14,83.961266,86.0,88.74492
2021-12-15,85.8582,87.0,88.73932
2021-12-16,86.60121,83.0,88.735
2021-12-17,85.08133,92.0,88.73319
2021-12-18,88.51253,90.0,88.729675
2021-12-19,88.14344,95.0,88.7273
2021-12-20,89.9898,90.0,88.72887
2021-12-21,88.072014,91.0,88.7339
2021-12-22,88.220955,93.0,88.73802
2021-12-23,88.730286,89.0,88.742134
2021-12-24,87.393616,88.0,88.746124
2021-12-25,87.12349,91.0,88.75045
2021-12-26,88.30983,94.0,88.752365
2021-12-27,89.50745,94.0,88.753746
2021-12-28,89.62714,89.0,88.7548
2021-12-29,88.16955,85.0,88.75268
2021-12-30,86.849045,95.0,88.75143
2021-12-31,89.4172,88.0,88.75355
2022-01-01,87.74883,92.0,88.75454
2022-01-02,88.53221,86.0,88.7573
2022-01-03,86.952934,96.0,88.76141
2022-01-04,89.18138,92.0,88.76097
2022-01-05,88.5915,91.0,88.75451
2022-01-06,88.28602,90.0,88.74812
2022-01-07,87.94825,92.0,88.73989
2022-01-08,88.23313,89.0,88.731346
2022-01-09,87.58236,89.0,88.72372
2022-01-10,87.34167,90.0,88.71597
2022-01-11,87.43504,89.0,88.70654
2022-01-12,87.241165,91.0,88.70243
2022-01-13,87.6666,92.0,88.69703
2022-01-14,88.11714,88.0,88.68855
2022-01-15,87.496765,94.0,88.68418
2022-01-16,88.66213,92.0,88.68203
2022-01-17,88.73704,90.0,88.67358
2022-01-18,88.44701,95.0,88.66551
2022-01-19,89.41808,92.0,88.66178
2022-01-20,89.20347,92.0,88.65332
2022-01-21,89.1515,91.0,88.64668
2022-01-22,88.88694,89.0,88.64234
2022-01-23,88.312836,85.0,88.64344
2022-01-24,87.092316,88.0,88.63662
2022-01-25,86.974174,85.0,88.6367
2022-01-26,86.18022,86.0,88.63282
2022-01-27,85.95622,90.0,88.63026
2022-01-28,86.76735,92.0,88.62689
2022-01-29,87.73936,90.0,88.623276
2022-01-30,87.91952,87.0,88.6253
2022-01-31,87.447464,84.0,88.62676
2022-02-01,86.57615,84.0,88.6225
2022-02-02,86.12018,87.0,88.60284
2022-02-03,86.60944,94.0,88.5881
2022-02-04,88.55801,90.0,88.57981
2022-02-05,88.730316,88.0,88.56043
2022-02-06,88.45843,84.0,88.51301
2022-02-07,87.29435,82.0,88.43295
2022-02-08,86.1359,86.0,88.35939
2022-02-09,86.56883,94.0,88.37876
2022-02-10,88.98634,88.0,88.334984
2022-02-11,88.47799,88.0,88.21595
2022-02-12,88.31523,94.0,88.07183
2022-02-13,89.47259,92.0,87.99833
2022-02-14,89.51608,87.0,87.837685
2022-02-15,88.81543,95.0,87.88924
2022-02-16,89.8025,94.0,87.87043
2022-02-17,89.99922,94.0,87.82891
2022-02-18,90.02434,96.0,87.647766
2022-02-19,90.34363,94.0,87.65911
2022-02-20,90.11833,90.0,87.55381
2022-02-21,89.31707,89.0,87.51263
2022-02-22,88.55579,96.0,87.51386
2022-02-23,89.057495,84.0,87.49833
2022-02-24,87.45725,85.0,87.50935
2022-02-25,86.493385,89.0,87.5318
2022-02-26,86.46138,86.0,87.54804
2022-02-27,86.134056,87.0,87.60055
2022-02-28,86.155815,90.0,87.63774
2022-03-01,86.419716,90.0,87.688965
2022-03-02,86.71885,93.0,87.724236
2022-03-03,87.51344,94.0,87.74708
2022-03-04,88.18958,91.0,87.76551
