date,Predictions_update,Actuals,Predictions
2021-08-15,27.57903,28.0,27.57903
2021-08-16,27.69273,27.5,27.581282
2021-08-17,27.641087,28.8,27.586506
2021-08-18,27.933424,28.4,27.592854
2021-08-19,28.031057,27.8,27.598957
2021-08-20,27.933884,27.7,27.603897
2021-08-21,27.832355,27.5,27.607101
2021-08-22,27.710402,28.2,27.608257
2021-08-23,27.806656,27.9,27.607258
2021-08-24,27.800852,27.6,27.604141
2021-08-25,27.720234,26.6,27.599054
2021-08-26,27.411058,27.2,27.592373
2021-08-27,27.368652,27.2,27.58434
2021-08-28,27.363398,27.9,27.575191
2021-08-29,27.504763,28.4,27.565212
2021-08-30,27.758358,28.0,27.554674
2021-08-31,27.821041,28.8,27.543818
2021-09-01,28.058254,29.2,27.532856
2021-09-02,28.30318,27.7,27.521965
2021-09-03,28.089258,28.6,27.511284
2021-09-04,28.149244,28.4,27.500917
2021-09-05,28.137518,28.4,27.490942
2021-09-06,28.125725,27.6,27.481401
2021-09-07,27.909391,28.8,27.472322
2021-09-08,28.069622,26.4,27.46371
2021-09-09,27.57466,24.0,27.455557
2021-09-10,27.027895,28.7,27.44784
2021-09-11,27.291637,28.0,27.440536
2021-09-12,27.469452,25.6,27.433609
2021-09-13,27.2207,28.4,27.427023
2021-09-14,27.485727,28.7,27.420748
2021-09-15,27.814152,27.4,27.414751
2021-09-16,27.714157,24.3,27.409006
2021-09-17,27.108524,27.2,27.403482
2021-09-18,27.168987,25.0,27.398165
2021-09-19,26.959875,27.4,27.39303
2021-09-20,27.106266,28.2,27.388065
2021-09-21,27.422308,29.0,27.383257
2021-09-22,27.835052,26.2,27.378597
2021-09-23,27.411314,27.2,27.374075
2021-09-24,27.363848,27.2,27.36969
2021-09-25,27.319672,27.8,27.365437
2021-09-26,27.447033,27.7,27.36132
2021-09-27,27.503954,28.4,27.357327
2021-09-28,27.728493,29.7,27.353466
2021-09-29,28.246395,29.2,27.349733
2021-09-30,28.449938,29.8,27.346128
2021-10-01,28.731737,31.4,27.34265
2021-10-02,29.23511,29.4,27.339293
2021-10-03,29.207539,27.0,27.336058
2021-10-04,28.443872,27.2,27.33294
2021-10-05,27.932314,27.4,27.329937
2021-10-06,27.65648,28.6,27.327047
2021-10-07,27.82599,29.2,27.324265
2021-10-08,28.132761,30.0,27.321585
2021-10-09,28.557913,28.6,27.319008
2021-10-10,28.49492,28.2,27.31653
2021-10-11,28.327085,28.4,27.314144
2021-10-12,28.256935,28.4,27.311852
2021-10-13,28.213482,29.9,27.309643
2021-10-14,28.540462,29.4,27.307518
2021-10-15,28.646366,29.4,27.305475
2021-10-16,28.722414,29.4,27.303509
2021-10-17,28.778088,29.6,27.301617
2021-10-18,28.857384,30.2,27.299795
2021-10-19,29.035973,29.1,27.298042
2021-10-20,28.970589,29.2,27.296356
2021-10-21,28.924313,28.9,27.294733
2021-10-22,28.808935,29.6,27.293169
2021-10-23,28.893248,26.8,27.291662
2021-10-24,28.252499,27.6,27.290213
2021-10-25,27.993938,28.9,27.288818
2021-10-26,28.16942,29.8,27.287476
2021-10-27,28.513723,28.4,27.286182
2021-10-28,28.447012,30.2,27.284935
2021-10-29,28.747343,30.6,27.283737
2021-10-30,29.057577,27.4,27.282583
2021-10-31,28.65861,24.3,27.281473
2021-11-01,27.474257,29.0,27.280405
2021-11-02,27.801144,28.2,27.279379
2021-11-03,27.892277,29.9,27.278383
2021-11-04,28.341354,31.0,27.27743
2021-11-05,28.832634,27.6,27.27651
2021-11-06,28.550953,28.0,27.275625
2021-11-07,28.344429,28.0,27.274773
2021-11-08,28.171354,29.9,27.273954
2021-11-09,28.528656,28.6,27.273167
2021-11-10,28.487007,28.0,27.272404
2021-11-11,28.275305,30.6,27.27167
2021-11-12,28.742785,28.4,27.270964
2021-11-13,28.607187,29.3,27.270285
2021-11-14,28.684914,27.9,27.269632
2021-11-15,28.37629,28.5,27.269007
2021-11-16,28.308334,28.6,27.268404
2021-11-17,28.298843,26.8,27.267828
2021-11-18,27.835897,28.0,27.267271
2021-11-19,27.827562,28.6,27.266737
2021-11-20,27.99493,28.8,27.266226
2021-11-21,28.172218,26.8,27.265732
2021-11-22,27.78065,27.8,27.265253
2021-11-23,27.76208,28.2,27.264791
2021-11-24,27.860867,27.6,27.264347
2021-11-25,27.780167,27.1,27.263922
2021-11-26,27.597845,26.8,27.263514
2021-11-27,27.432386,27.2,27.263119
2021-11-28,27.434294,26.7,27.26274
2021-11-29,27.357515,28.6,27.262373
2021-11-30,27.661547,28.4,27.262022
2021-12-01,27.86959,26.7,27.261686
2021-12-02,27.57029,29.4,27.26136
2021-12-03,28.051579,29.4,27.261047
2021-12-04,28.372663,27.0,27.260746
2021-12-05,27.953474,28.6,27.26046
2021-12-06,28.062052,28.6,27.260183
2021-12-07,28.13747,27.4,27.259918
2021-12-08,27.869371,25.2,27.259663
2021-12-09,27.132776,27.0,27.259417
2021-12-10,27.1338,28.4,27.25918
2021-12-11,27.441196,28.0,27.258951
2021-12-12,27.603996,28.0,27.258732
2021-12-13,27.715425,28.6,27.25852
2021-12-14,27.950085,28.2,27.258314
2021-12-15,27.988522,27.0,27.258116
2021-12-16,27.675419,28.8,27.257925
2021-12-17,27.945301,29.2,27.257742
2021-12-18,28.230282,28.4,27.257565
2021-12-19,28.210135,26.4,27.257397
2021-12-20,27.653711,25.9,27.25723
2021-12-21,27.16413,28.4,27.257072
2021-12-22,27.453451,26.2,27.256922
2021-12-23,27.181356,25.9,27.256775
2021-12-24,27.075243,28.2,27.256634
2021-12-25,27.313978,24.6,27.256498
2021-12-26,26.991777,26.0,27.256369
2021-12-27,26.96232,24.6,27.256243
2021-12-28,26.775532,26.4,27.256123
2021-12-29,26.858465,26.4,27.256006
2021-12-30,26.913345,24.6,27.255896
2021-12-31,26.682598,26.3,27.255789
2022-01-01,26.763504,24.8,27.255686
2022-01-02,26.558458,26.8,27.255587
2022-01-03,26.78922,25.2,27.255491
2022-01-04,26.58804,25.6,27.255398
2022-01-05,26.534258,25.3,27.25531
2022-01-06,26.417183,25.5,27.255224
2022-01-07,26.368952,25.0,27.255142
2022-01-08,26.216743,27.2,27.255064
2022-01-09,26.634144,27.4,27.254988
2022-01-10,26.899641,27.4,27.254915
2022-01-11,27.092728,28.0,27.254845
2022-01-12,27.391518,27.0,27.254776
2022-01-13,27.23788,28.1,27.254711
2022-01-14,27.459675,27.5,27.254648
2022-01-15,27.389751,24.0,27.254587
2022-01-16,26.282007,25.2,27.254528
2022-01-17,25.989187,25.8,27.254473
2022-01-18,26.009165,27.2,27.25442
2022-01-19,26.388575,26.0,27.254366
2022-01-20,26.312405,24.9,27.254316
2022-01-21,26.045156,24.3,27.254269
2022-01-22,25.802874,25.2,27.254221
2022-01-23,25.84888,26.9,27.254177
2022-01-24,26.262691,28.0,27.254133
2022-01-25,26.829422,28.0,27.254091
2022-01-26,27.236551,29.3,27.254051
2022-01-27,27.878521,27.7,27.254013
2022-01-28,27.75885,27.6,27.253977
2022-01-29,27.62087,26.2,27.25394
2022-01-30,27.082537,27.6,27.253906
2022-01-31,27.152908,27.8,27.253874
2022-02-01,27.258694,27.0,27.253841
2022-02-02,27.099638,25.7,27.25381
2022-02-03,26.634035,25.8,27.253782
2022-02-04,26.415173,25.6,27.253754
2022-02-05,26.335596,27.8,27.253725
2022-02-06,26.709774,28.0,27.2537
2022-02-07,27.110113,29.4,27.253674
2022-02-08,27.776817,27.6,27.25365
2022-02-09,27.686222,26.9,27.253626
2022-02-10,27.408072,28.2,27.253603
2022-02-11,27.578789,28.0,27.253582
2022-02-12,27.634546,27.2,27.253561
2022-02-13,27.44323,24.7,27.25354
2022-02-14,26.75769,28.8,27.253521
2022-02-15,27.237528,27.5,27.253502
2022-02-16,27.294916,28.0,27.253485
2022-02-17,27.477549,25.2,27.253468
2022-02-18,26.94285,25.2,27.25345
2022-02-19,26.790674,26.9,27.253435
2022-02-20,26.89538,23.8,27.25342
2022-02-21,26.605658,24.7,27.253405
2022-02-22,26.51718,23.4,27.25339
2022-02-23,26.288937,27.0,27.253376
2022-02-24,26.597431,27.4,27.253363
2022-02-25,26.933395,23.9,27.25335
2022-02-26,26.478167,26.2,27.253338
2022-02-27,26.61609,27.1,27.253326
2022-02-28,26.895472,25.0,27.253315
2022-03-01,26.553251,27.2,27.253304
2022-03-02,26.856037,27.4,27.253292
2022-03-03,27.045849,27.3,27.253283
2022-03-04,27.144955,28.4,27.253273
2022-03-05,27.537771,28.2,27.253263
2022-03-06,27.701838,26.8,27.253254
2022-03-07,27.357147,25.6,27.253244
2022-03-08,26.764118,25.0,27.253237
2022-03-09,26.23993,28.3,27.25323
2022-03-10,26.847744,28.6,27.253222
2022-03-11,27.344322,28.5,27.253214
2022-03-12,27.641912,29.6,27.253206
2022-03-13,28.16223,27.0,27.253199
2022-03-14,27.700455,28.0,27.253193
2022-03-15,27.676813,29.3,27.253185
2022-03-16,28.042166,28.0,27.25318
2022-03-17,27.906347,28.0,27.253174
2022-03-18,27.810345,28.2,27.253168
2022-03-19,27.806353,28.6,27.253162
2022-03-20,27.926258,23.8,27.253157
2022-03-21,26.849031,26.9,27.25315
2022-03-22,26.867916,27.4,27.253147
2022-03-23,26.991032,25.8,27.253141
2022-03-24,26.909832,27.8,27.253138
2022-03-25,27.109598,27.2,27.253134
2022-03-26,27.184574,27.8,27.253128
2022-03-27,27.367908,28.5,27.253124
2022-03-28,27.702791,28.8,27.25312
2022-03-29,28.008432,27.0,27.253117
2022-03-30,27.702776,26.8,27.253113
2022-03-31,27.428549,28.2,27.253109
