date,Predictions_update,Actuals,Predictions
2021-08-15,19.6531,19.3,19.6531
2021-08-16,19.774696,20.8,19.873188
2021-08-17,20.212639,19.0,19.958023
2021-08-18,19.729338,19.4,20.006748
2021-08-19,19.84976,18.9,20.035229
2021-08-20,19.707336,20.0,20.050898
2021-08-21,20.080614,20.0,20.057602
2021-08-22,20.107468,19.5,20.057444
2021-08-23,19.903774,19.2,20.051985
2021-08-24,19.689466,19.0,20.04224
2021-08-25,19.515965,19.2,20.029402
2021-08-26,19.544815,18.4,20.016083
2021-08-27,19.138914,19.6,20.002623
2021-08-28,19.62336,19.2,19.990894
2021-08-29,19.463062,20.9,19.980537
2021-08-30,19.946014,19.0,19.971624
2021-08-31,19.367739,18.6,19.964043
2021-09-01,19.073332,18.4,19.957747
2021-09-02,18.954678,20.4,19.9524
2021-09-03,19.58502,18.3,19.94806
2021-09-04,18.898554,20.4,19.944597
2021-09-05,19.433947,20.8,19.941837
2021-09-06,19.6545,19.8,19.939718
2021-09-07,19.405502,20.8,19.93818
2021-09-08,19.833685,21.0,19.937122
2021-09-09,20.033617,21.6,19.936487
2021-09-10,20.136427,20.0,19.936083
2021-09-11,19.56348,20.8,19.935719
2021-09-12,19.91123,20.3,19.936
2021-09-13,19.83239,20.2,19.936783
2021-09-14,19.950281,19.8,19.938011
2021-09-15,19.922781,20.0,19.939297
2021-09-16,20.085678,20.8,19.940245
2021-09-17,20.405788,21.0,19.940815
2021-09-18,20.554247,18.8,19.941267
2021-09-19,19.88809,20.2,19.941721
2021-09-20,20.369083,20.8,19.942146
2021-09-21,20.409475,20.0,19.942657
2021-09-22,20.043058,20.6,19.943396
2021-09-23,20.18942,20.1,19.943195
2021-09-24,19.844816,18.8,19.942114
2021-09-25,19.25089,20.3,19.940248
2021-09-26,19.977379,21.6,19.939743
2021-09-27,20.417683,20.2,19.940037
2021-09-28,19.839893,20.0,19.942608
2021-09-29,19.95181,18.4,19.945852
2021-09-30,18.987818,20.8,19.948694
2021-10-01,20.28909,20.0,19.952208
2021-10-02,19.521368,21.2,19.956049
2021-10-03,20.341522,21.0,19.959631
2021-10-04,20.267483,20.2,19.962772
2021-10-05,20.064552,19.8,19.96537
2021-10-06,19.94752,18.6,19.96756
2021-10-07,19.551043,18.2,19.968773
2021-10-08,19.479872,18.8,19.968792
2021-10-09,19.693413,20.3,19.968105
2021-10-10,20.162695,19.8,19.969717
2021-10-11,19.981367,19.6,19.967686
2021-10-12,19.938423,21.8,19.964664
2021-10-13,20.53113,19.8,19.948412
2021-10-14,19.92881,18.9,19.922716
2021-10-15,19.647932,18.6,19.919334
2021-10-16,19.551964,17.8,19.919128
2021-10-17,19.211515,18.6,19.922825
2021-10-18,19.49988,19.2,19.930511
2021-10-19,19.714558,20.8,19.940355
2021-10-20,20.123789,19.4,19.939981
2021-10-21,19.713905,19.0,19.938644
2021-10-22,19.582294,20.9,19.938698
2021-10-23,20.075253,20.2,19.938013
2021-10-24,19.983381,19.8,19.938116
2021-10-25,19.824114,18.2,19.939564
2021-10-26,19.126343,19.3,19.938995
2021-10-27,19.397898,18.6,19.93911
2021-10-28,19.185785,18.8,19.94138
2021-10-29,19.22471,20.6,19.946604
2021-10-30,19.781849,21.6,19.95081
2021-10-31,20.140892,19.2,19.952225
2021-11-01,19.421326,18.1,19.950644
2021-11-02,18.867474,18.0,19.94853
2021-11-03,18.864017,19.0,19.945816
2021-11-04,19.23939,20.6,19.946756
2021-11-05,19.645964,21.1,19.947542
2021-11-06,19.822948,20.2,19.948095
2021-11-07,19.576767,19.3,19.948416
2021-11-08,19.390661,19.7,19.948261
2021-11-09,19.783138,20.9,19.949894
2021-11-10,20.161917,19.4,19.952074
2021-11-11,19.389202,20.8,19.955318
2021-11-12,20.087536,20.0,19.95666
2021-11-13,19.695347,20.0,19.95903
2021-11-14,19.941689,20.2,19.959822
2021-11-15,20.09694,19.8,19.96047
2021-11-16,20.073174,20.6,19.962774
2021-11-17,20.463007,19.5,19.964245
2021-11-18,20.155003,20.3,19.96493
2021-11-19,20.492891,19.2,19.964773
2021-11-20,20.100855,18.5,19.963713
2021-11-21,19.80122,19.8,19.96208
2021-11-22,20.041452,18.8,19.960081
2021-11-23,19.514217,18.6,19.958094
2021-11-24,19.40658,18.9,19.956041
2021-11-25,19.534233,20.6,19.954332
2021-11-26,20.181763,21.3,19.952919
2021-11-27,20.426249,21.2,19.953236
2021-11-28,20.416075,20.0,19.954817
2021-11-29,19.985641,20.4,19.957067
2021-11-30,20.125677,20.9,19.95934
2021-12-01,20.274958,21.0,19.961084
2021-12-02,20.297983,20.7,19.962366
2021-12-03,20.192822,21.2,19.963442
2021-12-04,20.315556,21.7,19.962833
2021-12-05,20.481037,20.2,19.961554
2021-12-06,20.164309,21.4,19.96381
2021-12-07,20.474106,21.4,19.963501
2021-12-08,20.577682,21.2,19.96412
2021-12-09,20.608969,21.8,19.96301
2021-12-10,20.800453,22.4,19.961857
2021-12-11,21.003462,22.4,19.960829
2021-12-12,21.129843,22.0,19.959991
2021-12-13,21.159472,21.6,19.959335
2021-12-14,21.135725,21.9,19.958622
2021-12-15,21.19379,20.6,19.958128
2021-12-16,20.878422,21.0,19.95965
2021-12-17,20.807325,20.2,19.960268
2021-12-18,20.468288,20.7,19.961306
2021-12-19,20.264408,19.2,19.960209
2021-12-20,19.534584,20.0,19.96091
2021-12-21,19.825954,20.4,19.963182
2021-12-22,19.956339,19.2,19.964367
2021-12-23,19.48751,20.8,19.964838
2021-12-24,20.294607,19.6,19.964922
2021-12-25,19.392675,20.2,19.964766
2021-12-26,19.770826,21.2,19.964468
2021-12-27,20.037834,21.0,19.964096
2021-12-28,19.868845,20.0,19.9637
2021-12-29,19.526695,20.0,19.963308
2021-12-30,19.793308,20.4,19.962948
2021-12-31,20.124754,20.9,19.962633
2022-01-01,20.385433,20.5,19.96237
2022-01-02,20.177273,20.2,19.962162
2022-01-03,20.091976,19.2,19.96201
2022-01-04,19.747473,20.6,19.9619
2022-01-05,20.273846,19.4,19.96183
2022-01-06,19.764162,21.4,19.961788
2022-01-07,20.485664,21.4,19.961763
2022-01-08,20.386185,18.4,19.961748
2022-01-09,19.435017,19.0,19.961733
2022-01-10,19.744907,17.5,19.961714
2022-01-11,19.205103,18.2,19.961681
2022-01-12,19.529749,18.9,19.961636
2022-01-13,19.74373,19.6,19.961576
2022-01-14,19.853292,19.2,19.961504
2022-01-15,19.543964,20.4,19.96142
2022-01-16,19.95318,20.2,19.96133
2022-01-17,19.832418,20.4,19.961239
2022-01-18,19.929731,19.2,19.961155
2022-01-19,19.512688,19.0,19.961084
2022-01-20,19.413504,20.4,19.961031
2022-01-21,19.96459,19.9,19.961002
2022-01-22,19.88733,20.2,19.961
2022-01-23,20.033976,20.0,19.961033
2022-01-24,19.947378,19.0,19.961098
2022-01-25,19.609764,21.2,19.961193
2022-01-26,20.18872,20.2,19.961315
2022-01-27,19.943909,19.1,19.96146
2022-01-28,19.584545,20.5,19.961618
2022-01-29,19.972477,19.4,19.96178
2022-01-30,19.653847,19.4,19.961939
2022-01-31,19.67204,18.6,19.962084
2022-02-01,19.42774,21.5,19.962212
2022-02-02,20.416834,20.6,19.962313
2022-02-03,20.015778,19.6,19.962383
2022-02-04,19.688692,21.0,19.962416
2022-02-05,20.244644,19.0,19.962408
2022-02-06,19.396166,21.5,19.962366
2022-02-07,20.493357,20.6,19.96229
2022-02-08,19.919777,19.4,19.962189
2022-02-09,19.559746,20.8,19.962069
2022-02-10,20.21661,20.2,19.961937
2022-02-11,19.81699,21.2,19.961803
2022-02-12,20.337965,20.3,19.961676
2022-02-13,19.965588,20.6,19.961557
2022-02-14,20.233791,18.0,19.961458
2022-02-15,19.178183,19.0,19.961378
2022-02-16,19.74022,20.2,19.961311
2022-02-17,20.039907,21.0,19.961262
2022-02-18,20.292295,19.8,19.961224
2022-02-19,19.79139,20.2,19.961214
2022-02-20,20.085344,20.3,19.961243
2022-02-21,20.071411,20.4,19.961283
2022-02-22,20.119463,19.8,19.961319
2022-02-23,19.896967,19.4,19.961338
2022-02-24,19.795822,20.5,19.961338
2022-02-25,20.202345,19.4,19.961311
2022-02-26,19.766497,20.2,19.961277
2022-02-27,20.102127,20.6,19.961239
2022-02-28,20.197218,20.8,19.961203
2022-03-01,20.253881,19.4,19.961172
2022-03-02,19.791107,19.3,19.961145
2022-03-03,19.780949,18.9,19.961126
2022-03-04,19.656498,18.8,19.961117
2022-03-05,19.646297,19.0,19.961119
2022-03-06,19.732393,20.4,19.96113
2022-03-07,20.169426,21.0,19.961145
2022-03-08,20.307276,20.5,19.961166
2022-03-09,20.199701,20.8,19.961193
2022-03-10,20.245888,19.9,19.961226
2022-03-11,19.985687,19.8,19.961267
2022-03-12,19.90112,20.0,19.961311
2022-03-13,19.936234,21.3,19.961353
2022-03-14,20.290442,21.2,19.96139
2022-03-15,20.29509,19.4,19.961414
2022-03-16,19.772343,20.0,19.961432
2022-03-17,19.884851,19.4,19.96144
2022-03-18,19.719055,20.2,19.961435
2022-03-19,19.963522,20.6,19.961422
2022-03-20,20.099672,21.3,19.961401
2022-03-21,20.325083,20.8,19.961374
2022-03-22,20.164236,20.2,19.961346
2022-03-23,19.969118,20.6,19.961317
2022-03-24,20.1053,20.4,19.961296
2022-03-25,20.02712,20.6,19.961279
2022-03-26,20.10571,20.7,19.961267
2022-03-27,20.13306,18.6,19.961264
2022-03-28,19.392096,20.9,19.961266
2022-03-29,20.332401,21.6,19.961275
2022-03-30,20.446203,18.2,19.961288
2022-03-31,19.16485,18.0,19.961308
