date,Predictions_update,Actuals,Predictions
2022-01-08,0.6929701,8.5,0.69296974
2022-01-09,2.3731973,8.881784197001252e-16,3.5615213
2022-01-10,5.522319,8.881784197001252e-16,7.21105
2022-01-11,9.547267,8.881784197001252e-16,10.004627
2022-01-12,13.740702,6.7,12.351552
2022-01-13,15.374315,34.8,12.731032
2022-01-14,10.269946,8.881784197001252e-16,13.427574
2022-01-15,14.690204,12.0,14.217384
2022-01-16,15.498777,2.7,15.341813
2022-01-17,19.801256,11.3,16.794369
2022-01-18,22.06498,2.0,17.175047
2022-01-19,27.801336,20.1,15.821991
2022-01-20,24.095465,5.0,9.279484
2022-01-21,23.773335,1.1000000000000005,3.4162621
2022-01-22,23.634968,14.0,2.065908
2022-01-23,16.715717,6.688085106382981,-0.5926285
2022-01-24,14.482059,8.881784197001252e-16,0.89447564
2022-01-25,12.642312,16.0,4.121903
2022-01-26,9.0852165,6.688085106382981,8.614204
2022-01-27,6.56674,2.0,12.761031
2022-01-28,5.157987,1.8999999999999995,15.502924
2022-01-29,5.4815598,0.29999999999999893,14.877887
2022-01-30,7.2296867,0.09999999999999964,12.352243
2022-01-31,10.249739,8.881784197001252e-16,9.085003
2022-02-01,15.062149,8.881784197001252e-16,7.122117
2022-02-02,20.796247,8.881784197001252e-16,6.4370446
2022-02-03,25.622702,8.881784197001252e-16,6.832781
2022-02-04,24.386293,17.7,7.2607474
2022-02-05,18.1809,1.2000000000000002,7.4463544
2022-02-06,16.081734,8.881784197001252e-16,7.4235353
2022-02-07,14.027049,1.0,7.247461
2022-02-08,11.558609,2.5,6.9562035
2022-02-09,8.843414,1.2999999999999998,6.7344127
2022-02-10,10.20785,1.5,10.06494
2022-02-11,7.8980947,1.5,9.525844
2022-02-12,6.5391626,8.881784197001252e-16,8.986442
2022-02-13,5.927773,6.4,8.522228
2022-02-14,4.4593053,2.1000000000000005,8.156932
2022-02-15,5.8271947,8.881784197001252e-16,8.002652
2022-02-16,7.0068192,15.5,8.657686
2022-02-17,5.7124963,3.5000000000000004,8.262657
2022-02-18,10.978153,17.3,7.9957123
2022-02-19,11.727071,9.7,7.752769
2022-02-20,18.078714,8.881784197001252e-16,7.53176
2022-02-21,22.59507,12.6,7.5545483
2022-02-22,22.644535,10.3,7.7091293
2022-02-23,25.247232,2.3999999999999995,7.4473763
2022-02-24,24.878557,8.881784197001252e-16,7.5949883
2022-02-25,20.77331,4.0,7.5074377
2022-02-26,15.02438,8.881784197001252e-16,7.174057
2022-02-27,10.256879,1.2999999999999998,6.7441444
2022-02-28,6.5233164,9.6,6.408857
2022-03-01,5.1683264,1.0,6.339233
2022-03-02,4.401471,8.881784197001252e-16,6.5531783
2022-03-03,4.6213,36.1,6.927454
2022-03-04,2.481972,7.0,6.9599686
2022-03-05,1.7209139,1.6000000000000005,7.3270903
2022-03-06,1.509863,60.99999999999999,7.964481
2022-03-07,-1.8147478,5.0,8.516891
2022-03-08,-2.7199783,4.2,9.107294
2022-03-09,-1.7097445,1.0,9.8365135
2022-03-10,-0.4255093,8.881784197001252e-16,9.805868
2022-03-11,1.4386654,12.1,10.660916
2022-03-12,2.3511164,8.881784197001252e-16,10.913449
2022-03-13,2.8137145,19.2,11.130553
2022-03-14,2.8046203,5.2,8.977909
2022-03-15,2.926112,8.881784197001252e-16,8.115054
2022-03-16,3.7497644,6.688085106382982,7.2825174
2022-03-17,4.438589,1.5,6.336641
2022-03-18,7.7590847,16.8,5.824275
2022-03-19,10.604427,0.40000000000000036,5.4024305
2022-03-20,13.100822,5.5,5.3856425
2022-03-21,14.166969,5.0,5.7863526
2022-03-22,15.075792,0.7999999999999998,6.5167775
2022-03-23,16.426704,7.0,7.719643
2022-03-24,16.113565,0.5,8.890258
2022-03-25,17.86893,6.688085106382982,9.864162
2022-03-26,18.002024,6.688085106382983,10.090261
2022-03-27,21.352118,6.688085106382983,9.641059
2022-03-28,24.493141,8.881784197001252e-16,9.854103
2022-03-29,29.185001,8.881784197001252e-16,10.177528
2022-03-30,31.664413,36.7,10.546746
2022-03-31,29.928572,8.881784197001252e-16,10.500455
