date,Predictions_update,Actuals,Predictions
2021-08-15,4.6591506,4.9,4.6591506
2021-08-16,4.218721,8.6,4.0842023
2021-08-17,6.3830934,5.2,3.8788338
2021-08-18,4.1527767,9.1,3.8450978
2021-08-19,6.5285816,6.1,3.8074415
2021-08-20,4.468468,2.6,3.7013836
2021-08-21,2.742075,7.2,3.4640696
2021-08-22,5.134611,2.4,3.2297544
2021-08-23,2.504143,8.8,3.0746868
2021-08-24,5.82241,3.3,3.0490973
2021-08-25,2.60376,2.2,3.1913438
2021-08-26,2.9687312,0.09999999999999964,3.6218672
2021-08-27,2.365366,3.4,4.198984
2021-08-28,3.5580673,3.2,4.898487
2021-08-29,3.9006894,4.4,5.491848
2021-08-30,5.0260873,7.8,5.949795
2021-08-31,7.117839,6.1,6.1713505
2021-09-01,6.3774266,9.3,6.0987225
2021-09-02,8.201729,7.9,5.436631
2021-09-03,6.6633177,2.3,4.601416
2021-09-04,3.3247352,8.1,4.2039547
2021-09-05,6.5287576,5.2,4.4971156
2021-09-06,4.313432,2.3,4.969589
2021-09-07,3.3453467,1.9,5.3820915
2021-09-08,3.9809368,3.1,5.600194
2021-09-09,4.923545,3.8,5.673994
2021-09-10,5.3918643,0.0,5.6682563
2021-09-11,4.4968414,6.4,5.612673
2021-09-12,7.0345545,1.0000000000000004,5.527784
2021-09-13,4.923205,0.09999999999999964,5.427827
2021-09-14,4.8393683,6.0,5.3101325
2021-09-15,4.93817,6.4,4.6071568
2021-09-16,4.3677144,3.0,4.0245967
2021-09-17,3.813733,0.0,4.1245174
2021-09-18,4.066927,0.20000000000000018,4.2435255
2021-09-19,4.312783,0.0,4.348198
2021-09-20,4.4010353,6.0,4.4422774
2021-09-21,4.46543,3.4,4.4946184
2021-09-22,4.459524,2.0,4.4926105
2021-09-23,4.411906,0.0,4.4887123
2021-09-24,4.387046,3.4,4.4086037
2021-09-25,4.3941054,4.2,4.339265
2021-09-26,4.6083384,3.8,4.2750516
2021-09-27,4.802124,7.9,4.212015
2021-09-28,6.1583714,7.3,4.1114006
2021-09-29,6.502042,6.3,4.0093865
2021-09-30,6.2116904,8.2,3.9468055
2021-10-01,6.612831,8.3,3.8535442
2021-10-02,6.7662234,5.1,3.8306122
2021-10-03,5.82829,1.1,3.8312314
2021-10-04,4.6635323,3.0,3.8592238
2021-10-05,4.3566165,1.7999999999999998,3.8306983
2021-10-06,4.002207,8.7,3.8291745
2021-10-07,4.9608374,8.7,3.8500366
2021-10-08,6.043431,8.6,3.8551955
2021-10-09,6.4583654,6.9,3.9041286
2021-10-10,6.000662,4.4,3.9563975
2021-10-11,4.753355,4.6,3.9673934
2021-10-12,4.5099683,6.2,4.0232944
2021-10-13,4.74909,4.3,3.919826
2021-10-14,4.3633585,4.2,4.0082483
2021-10-15,4.165682,7.5,4.2435927
2021-10-16,4.7626996,7.0,4.4576845
2021-10-17,4.931076,4.9,4.6257467
2021-10-18,4.211575,9.6,4.765315
2021-10-19,5.95746,7.3,4.8663282
2021-10-20,5.4115224,7.3,4.869854
2021-10-21,5.466805,9.0,4.92085
