date,scn-1,scn-2,scn-3,Actuals
2021-10-27,23.593271,23.593271,23.593271,23.3
2021-10-28,23.519264,23.602861,23.602861,24.6
2021-10-29,23.689474,23.603075,23.603075,24.5
2021-10-30,23.642365,23.642365,23.584389,23.7
2021-10-31,23.393066,23.353403,23.51492,21.3
2021-11-01,23.039831,23.218542,23.40216,23.5
2021-11-02,23.260664,23.260664,23.260248,22.9
2021-11-03,23.22454,23.280346,23.22454,24.2
2021-11-04,23.552431,23.226963,23.222097,25.1
2021-11-05,24.069353,24.069353,23.179579,23.3
2021-11-06,23.27399,23.622784,23.177307,22.7
2021-11-07,22.972355,23.379206,23.161606,22.7
2021-11-08,22.943916,22.943916,23.154354,24.7
2021-11-09,23.760416,23.018475,23.124905,24.6
2021-11-10,23.829802,23.081081,23.829802,23.8
2021-11-11,23.46324,23.46324,23.474943,25.4
2021-11-12,24.358107,23.27799,23.281076,23.4
2021-11-13,23.362103,23.157759,23.156809,22.9
2021-11-14,23.077991,23.077991,23.089212,22.8
2021-11-15,23.079596,23.125774,23.112215,22.9
2021-11-16,23.242283,23.209404,23.189026,24.7
2021-11-17,23.66005,23.66005,23.66005,22.3
2021-11-18,23.27754,23.327219,23.327219,23.3
2021-11-19,23.489145,23.33412,23.33412,23.3
2021-11-20,23.54436,23.54436,23.38608,24.4
2021-11-21,23.70282,23.639458,23.482191,23.2
2021-11-22,23.51026,23.620003,23.501228,22.4
2021-11-23,23.472982,23.472982,23.500893,22.7
2021-11-24,23.469587,23.539507,23.469587,22.8
2021-11-25,23.383602,23.436007,23.48151,22.7
2021-11-26,23.324482,23.324482,23.465109,23.5
2021-11-27,23.44845,23.413452,23.460361,22.7
2021-11-28,23.277874,23.470299,23.471212,22.9
2021-11-29,23.15211,23.15211,23.421589,23.5
2021-11-30,23.35322,23.195435,23.321636,22.2
2021-12-01,22.920834,23.227608,22.920834,23.0
2021-12-02,22.995293,22.995293,22.971867,24.5
2021-12-03,23.619938,23.04264,23.026741,24.6
2021-12-04,23.796698,23.087826,23.079681,23.5
2021-12-05,23.351538,23.351538,23.125677,22.2
2021-12-06,22.85087,23.216356,23.159657,24.3
2021-12-07,23.483473,23.105919,23.124271,23.1
2021-12-08,23.088009,23.088009,23.088009,23.2
2021-12-09,23.08406,23.04212,23.04212,23.9
2021-12-10,23.391932,23.014038,23.014038,24.8
2021-12-11,23.89368,23.89368,22.996393,24.2
2021-12-12,23.688171,23.529663,23.003351,24.1
2021-12-13,23.661629,23.32806,23.015978,24.2
2021-12-14,23.733814,23.733814,23.037035,23.8
2021-12-15,23.537397,23.49368,23.537397,23.0
2021-12-16,23.12198,23.31261,23.350046,24.3
2021-12-17,23.611847,23.611847,23.211494,23.2
2021-12-18,23.186243,23.25186,23.25558,23.4
2021-12-19,23.313068,23.257698,23.361977,21.9
2021-12-20,23.337206,23.337206,23.443523,22.7
2021-12-21,23.508635,23.542303,23.445831,21.2
2021-12-22,23.307158,23.559538,23.307158,22.2
2021-12-23,23.347229,23.347229,23.522224,22.6
2021-12-24,23.309652,23.43877,23.545094,23.1
2021-12-25,23.271189,23.437193,23.536535,22.5
2021-12-26,23.069166,23.069166,23.524666,22.2
2021-12-27,22.846003,23.04048,23.476929,22.4
2021-12-28,22.746952,23.019545,23.479471,22.5
2021-12-29,22.67015,22.67015,22.67015,23.0
2021-12-30,22.766724,22.655453,22.655453,21.7
2021-12-31,22.475056,22.690363,22.690363,22.6
2022-01-01,22.550447,22.550447,22.73217,22.2
2022-01-02,22.49759,22.599749,22.780628,22.9
2022-01-03,22.681387,22.648064,22.827923,20.5
2022-01-04,22.316525,22.316525,22.873589,22.4
2022-01-05,22.372866,22.364529,22.372866,22.3
2022-01-06,22.394163,22.399467,22.40685,22.9
2022-01-07,22.5228,22.5228,22.434706,22.8
2022-01-08,22.636377,22.546331,22.464724,22.1
2022-01-09,22.509521,22.575314,22.492706,22.2
2022-01-10,22.486084,22.486084,22.52504,21.4
2022-01-11,22.353413,22.513643,22.55968,21.3
2022-01-12,22.247204,22.546206,22.247204,21.8
2022-01-13,22.22291,22.22291,22.28526,21.7
2022-01-14,22.187132,22.258389,22.31657,22.5
2022-01-15,22.249653,22.282701,22.340315,21.4
2022-01-16,22.162237,22.162237,22.36625,21.8
2022-01-17,22.144878,22.19475,22.397879,21.7
2022-01-18,22.115593,22.22236,22.430498,21.5
2022-01-19,22.071177,22.071177,22.071177,22.1
2022-01-20,22.09526,22.101452,22.101452,22.5
2022-01-21,22.16863,22.132204,22.132204,21.8
2022-01-22,22.138615,22.138615,22.162292,22.3
2022-01-23,22.1874,22.172556,22.196775,22.8
2022-01-24,22.319443,22.191765,22.218323,22.4
2022-01-25,22.346302,22.346302,22.250113,23.3
2022-01-26,22.629076,22.361277,22.629076,23.6
2022-01-27,22.863672,22.386505,22.613934,23.0
2022-01-28,22.840744,22.840744,22.609037,22.8
2022-01-29,22.800097,22.806389,22.621468,22.7
2022-01-30,22.778803,22.803102,22.64215,23.1
2022-01-31,22.884016,22.884016,22.668007,23.0
2022-02-01,22.928576,22.89768,22.694088,23.5
2022-02-02,23.099655,22.919573,23.099655,22.4
2022-02-03,22.906929,22.906929,23.07919,21.6
2022-02-04,22.71182,22.95506,23.066727,22.4
2022-02-05,22.699802,22.996103,23.05086,23.0
2022-02-06,22.77418,22.77418,23.037985,23.7
2022-02-07,23.123152,22.784443,23.02873,24.0
2022-02-08,23.37819,22.799221,23.02576,22.6
2022-02-09,23.05656,23.05656,23.05656,22.1
2022-02-10,22.813456,23.075443,23.075443,23.3
2022-02-11,23.060017,23.081415,23.081415,23.7
2022-02-12,23.253819,23.253819,23.08378,22.6
2022-02-13,23.020046,23.177435,23.08076,22.5
2022-02-14,22.907352,23.132572,23.080116,22.2
2022-02-15,22.788801,22.788801,23.070623,21.2
2022-02-16,22.547012,22.841135,22.547012,22.3
2022-02-17,22.524258,22.87727,22.562414,21.4
2022-02-18,22.34212,22.34212,22.546139,21.5
2022-02-19,22.215275,22.335316,22.530836,21.6
2022-02-20,22.124279,22.317133,22.52726,21.9
2022-02-21,22.086319,22.086319,22.532045,22.0
2022-02-22,22.076733,22.092966,22.545845,20.5
2022-02-23,21.889082,22.097115,21.889082,22.1
2022-02-24,21.923325,21.923325,21.90572,23.3
2022-02-25,22.189632,21.941132,21.92545,21.8
2022-02-26,22.102192,21.975212,21.961214,22.7
2022-02-27,22.273745,22.273745,22.006342,23.0
2022-02-28,22.512177,22.291376,22.05378,22.1
2022-03-01,22.383131,22.310501,22.089558,22.4
2022-03-02,22.405025,22.405025,22.405025,22.5
2022-03-03,22.457296,22.432705,22.432705,21.8
2022-03-04,22.360271,22.462938,22.462938,22.8
2022-03-05,22.477228,22.477228,22.48876,22.9
2022-03-06,22.626274,22.499334,22.513472,22.8
2022-03-07,22.687065,22.520018,22.536457,22.3
2022-03-08,22.587357,22.587357,22.558365,21.9
2022-03-09,22.47883,22.613987,22.47883,23.8
2022-03-10,22.877813,22.639326,22.50145,22.6
2022-03-11,22.783213,22.783213,22.519672,22.7
2022-03-12,22.772285,22.79501,22.534653,22.2
2022-03-13,22.640038,22.812393,22.549534,23.4
2022-03-14,22.899864,22.899864,22.564482,23.5
2022-03-15,23.064964,22.902634,22.57732,23.7
2022-03-16,23.208445,22.91267,23.208445,22.9
2022-03-17,23.054766,23.054766,23.139477,22.5
2022-03-18,22.926441,23.05925,23.09725,23.4
2022-03-19,23.090876,23.045538,23.057375,23.6
2022-03-20,23.189297,23.189297,23.032238,22.1
2022-03-21,22.872938,23.104158,23.015331,22.9
2022-03-22,22.934738,23.055998,23.00245,23.3
2022-03-23,23.062609,23.062609,23.062609,22.4
2022-03-24,22.86671,23.052164,23.052164,22.9
2022-03-25,22.927588,23.044567,23.044567,22.9
2022-03-26,22.950792,22.950792,23.038801,22.9
2022-03-27,22.96298,22.981012,23.035675,23.1
2022-03-28,23.044909,23.00932,23.036865,24.2
2022-03-29,23.449114,23.449114,23.043415,22.0
2022-03-30,22.871895,23.252644,22.871895,22.3
2022-03-31,22.785872,23.146881,22.939249,22.4
