date,scn-1,scn-2,scn-3,Actuals
2021-10-27,86.94016,86.94016,86.94016,90.0
2021-10-28,87.182495,86.95523,86.95523,85.0
2021-10-29,87.05923,86.97727,86.97727,83.0
2021-10-30,86.85019,86.85019,86.97892,88.0
2021-10-31,86.88752,86.835526,86.98968,93.0
2021-11-01,87.243,86.846436,87.00187,84.0
2021-11-02,87.114075,87.114075,87.02544,88.0
2021-11-03,87.18857,87.11241,87.18857,85.0
2021-11-04,87.02805,87.125755,87.20113,81.0
2021-11-05,86.83546,86.83546,87.205505,86.0
2021-11-06,86.76927,86.792305,87.20278,93.0
2021-11-07,87.094215,86.79147,87.20734,91.0
2021-11-08,87.24708,87.24708,87.20673,85.0
2021-11-09,87.213394,87.29294,87.20605,84.0
2021-11-10,87.010925,87.316055,87.010925,88.0
2021-11-11,87.05018,87.05018,86.99352,83.0
2021-11-12,86.91029,87.06539,87.00619,91.0
2021-11-13,87.11818,87.06498,87.010796,90.0
2021-11-14,87.23119,87.23119,87.0165,93.0
2021-11-15,87.40284,87.25522,87.023796,89.0
2021-11-16,87.46977,87.26429,87.03361,83.0
2021-11-17,87.33956,87.33956,87.33956,94.0
2021-11-18,87.51717,87.327324,87.327324,89.0
2021-11-19,87.563965,87.31885,87.31885,89.0
2021-11-20,87.59559,87.59559,87.303734,85.0
2021-11-21,87.4929,87.56541,87.282074,91.0
2021-11-22,87.58115,87.544106,87.27683,94.0
2021-11-23,87.73884,87.73884,87.26605,93.0
2021-11-24,87.88793,87.72785,87.88793,92.0
2021-11-25,88.026855,87.70739,87.88134,92.0
2021-11-26,88.15261,88.15261,87.84573,86.0
2021-11-27,88.05284,88.0993,87.790276,89.0
2021-11-28,88.04706,88.036835,87.74081,90.0
2021-11-29,88.080894,88.080894,87.702065,85.0
2021-11-30,87.97844,88.02958,87.66608,89.0
2021-12-01,87.94015,87.973434,87.94015,86.0
2021-12-02,87.84567,87.84567,87.88617,82.0
2021-12-03,87.572815,87.7654,87.82062,83.0
2021-12-04,87.2569,87.69977,87.762596,84.0
2021-12-05,87.05158,87.05158,87.70326,92.0
2021-12-06,87.17905,86.97779,87.65738,82.0
2021-12-07,86.9691,86.96271,87.62685,89.0
2021-12-08,86.99923,86.99923,86.99923,88.0
2021-12-09,87.065704,87.00395,87.00395,86.0
2021-12-10,87.001686,87.01141,87.01141,80.0
2021-12-11,86.83688,86.83688,87.026596,86.0
2021-12-12,86.789406,86.807434,87.03205,85.0
2021-12-13,86.73414,86.7971,87.034,80.0
2021-12-14,86.58229,86.58229,87.03698,86.0
2021-12-15,86.52965,86.55393,86.52965,87.0
2021-12-16,86.53327,86.55897,86.53088,83.0
2021-12-17,86.47166,86.47166,86.56973,92.0
2021-12-18,86.69984,86.486244,86.60594,90.0
2021-12-19,86.921844,86.52108,86.6437,95.0
2021-12-20,87.22598,87.22598,86.691666,90.0
2021-12-21,87.42782,87.31757,86.7307,91.0
2021-12-22,87.607895,87.37103,87.607895,93.0
2021-12-23,87.84057,87.84057,87.65199,89.0
2021-12-24,87.90807,87.855705,87.65195,88.0
2021-12-25,87.89093,87.83158,87.628975,91.0
2021-12-26,87.96788,87.96788,87.59089,94.0
2021-12-27,88.172325,87.91161,87.562164,94.0
2021-12-28,88.366104,87.84603,87.52721,89.0
2021-12-29,88.33883,88.33883,88.33883,85.0
