date,scn-1,scn-2,scn-3,Actuals
2021-08-15,19.647345,19.647345,19.647345,19.3
2021-08-16,19.716223,19.870302,19.870302,20.8
2021-08-17,20.191658,19.922516,19.922516,19.0
2021-08-18,19.61185,19.61185,19.945816,19.4
2021-08-19,19.737707,19.818306,19.957918,18.9
2021-08-20,19.471956,19.858479,19.954924,20.0
2021-08-21,19.862066,19.862066,19.958246,20.0
2021-08-22,19.854578,19.81161,19.854578,19.5
2021-08-23,19.692713,19.809622,19.827284,19.2
2021-08-24,19.55649,19.55649,19.8233,19.0
2021-08-25,19.435156,19.669077,19.825377,19.2
2021-08-26,19.469997,19.711018,19.830166,18.4
2021-08-27,19.11613,19.11613,19.83827,19.6
2021-08-28,19.542875,19.358788,19.845478,19.2
2021-08-29,19.380945,19.442137,19.380945,20.9
2021-08-30,20.038044,20.038044,19.453466,19.0
2021-08-31,19.391958,19.795177,19.494492,18.6
2021-09-01,19.221045,19.741484,19.524866,18.4
2021-09-02,19.081392,19.081392,19.565401,20.4
2021-09-03,19.830933,19.296295,19.597355,18.3
2021-09-04,19.02499,19.364267,19.619207,20.4
2021-09-05,19.820415,19.820415,19.820415,20.8
2021-09-06,20.00541,19.658655,19.658655,19.8
2021-09-07,19.722042,19.636057,19.636057,20.8
2021-09-08,20.081812,20.081812,19.641724,21.0
2021-09-09,20.213982,19.898327,19.651812,21.6
2021-09-10,20.505144,19.859032,19.669165,20.0
2021-09-11,20.111418,20.111418,19.685509,20.8
2021-09-12,20.365192,20.129108,20.365192,20.3
2021-09-13,20.242212,20.113045,20.256319,20.2
2021-09-14,20.19223,20.19223,20.20318,19.8
2021-09-15,20.023138,20.153175,20.153774,20.0
2021-09-16,20.00834,20.090307,20.08802,20.8
2021-09-17,20.238302,20.238302,20.030073,21.0
2021-09-18,20.341303,20.074528,19.96553,18.8
2021-09-19,19.646885,20.007534,19.646885,20.2
2021-09-20,19.951696,19.951696,19.773533,20.8
2021-09-21,20.132927,19.849018,19.763117,20.0
2021-09-22,19.908474,19.792475,19.73565,20.6
2021-09-23,20.078167,20.078167,19.720495,20.1
2021-09-24,19.941069,19.927168,19.68723,18.8
2021-09-25,19.528946,19.860394,19.669716,20.3
2021-09-26,19.88039,19.88039,19.88039,21.6
2021-09-27,20.326359,19.798775,19.798775,20.2
2021-09-28,20.040709,19.772924,19.772924,20.0
2021-09-29,19.964058,19.964058,19.761337,18.4
2021-09-30,19.456774,19.940506,19.761375,20.8
2021-10-01,20.061764,19.913376,19.755135,20.0
2021-10-02,19.908695,19.908695,19.755068,21.2
2021-10-03,20.291344,19.879202,20.291344,21.0
2021-10-04,20.334381,19.8607,20.0884,20.2
2021-10-05,20.13067,20.13067,20.015827,19.8
2021-10-06,19.983074,20.08535,19.9764,18.6
2021-10-07,19.580551,20.063696,19.9567,18.2
2021-10-08,19.327492,19.327492,19.945147,18.8
2021-10-09,19.381472,19.589743,19.913172,20.3
2021-10-10,19.865326,19.663145,19.865326,19.8
2021-10-11,19.754684,19.754684,19.777529,19.6
2021-10-12,19.692734,19.747383,19.759418,21.8
2021-10-13,20.380114,19.754332,19.7634,19.8
2021-10-14,19.886635,19.886635,19.772903,18.9
2021-10-15,19.57,19.887499,19.77041,18.6
2021-10-16,19.386673,19.887125,19.780926,17.8
2021-10-17,19.013985,19.013985,19.013985,18.6
2021-10-18,19.201385,19.365236,19.365236,19.2
2021-10-19,19.379139,19.477825,19.477825,20.8
2021-10-20,19.974997,19.974997,19.517399,19.4
2021-10-21,19.545542,19.767832,19.552572,19.0
2021-10-22,19.395956,19.725273,19.583984,20.9
2021-10-23,20.069725,20.069725,19.626942,20.2
2021-10-24,19.918234,19.872972,19.918234,19.8
2021-10-25,19.822136,19.840784,19.861187,18.2
2021-10-26,19.284437,19.284437,19.857569,19.3
2021-10-27,19.593893,19.591055,19.857988,18.6
2021-10-28,19.295862,19.670698,19.854458,18.8
2021-10-29,19.315184,19.315184,19.853481,20.6
2021-10-30,19.944485,19.484539,19.864525,21.6
2021-10-31,20.317873,19.552147,20.317873,19.2
2021-11-01,19.612188,19.612188,19.997173,18.1
2021-11-02,19.244577,19.754948,19.937443,18.0
2021-11-03,19.119627,19.800089,19.932737,19.0
2021-11-04,19.396187,19.396187,19.93117,20.6
2021-11-05,19.948246,19.506725,19.922955,21.1
2021-11-06,20.136513,19.536331,19.901571,20.2
2021-11-07,19.890894,19.890894,19.890894,19.3
2021-11-08,19.606522,19.805134,19.805134,19.7
2021-11-09,19.737047,19.794159,19.794159,20.9
2021-11-10,20.126982,20.126982,19.79571,19.4
2021-11-11,19.685349,19.926853,19.79696,20.8
2021-11-12,20.140049,19.885925,19.80912,20.0
2021-11-13,19.924175,19.924175,19.819069,20.0
2021-11-14,19.939579,19.912754,19.939579,20.2
2021-11-15,19.994308,19.892347,19.905754,19.8
2021-11-16,19.868292,19.868292,19.889828,20.6
2021-11-17,20.101126,19.874043,19.872154,19.5
2021-11-18,19.77293,19.86188,19.856113,20.3
2021-11-19,20.006426,20.006426,19.852451,19.2
2021-11-20,19.680737,19.938505,19.859005,18.5
2021-11-21,19.424606,19.91011,19.424606,19.8
2021-11-22,19.78571,19.78571,19.665302,18.8
2021-11-23,19.395542,19.761652,19.713451,18.6
