date,scn-1,scn-2,scn-3,Actuals
2021-08-15,27.547112,27.547112,27.547112,28.0
2021-08-16,27.684757,27.545673,27.545673,27.5
2021-08-17,27.634716,27.552082,27.552082,28.8
2021-08-18,27.954689,27.954689,27.551962,28.4
2021-08-19,28.05161,27.923056,27.545649,27.8
2021-08-20,27.942131,27.882088,27.53249,27.7
2021-08-21,27.828438,27.828438,27.515402,27.5
2021-08-22,27.697918,27.790823,27.697918,28.2
2021-08-23,27.814724,27.756493,27.669155,27.9
2021-08-24,27.804712,27.804712,27.637707,27.6
2021-08-25,27.719343,27.7757,27.619875,26.6
2021-08-26,27.351028,27.741648,27.596798,27.2
2021-08-27,27.307796,27.307796,27.581203,27.2
2021-08-28,27.311829,27.342833,27.585907,27.9
2021-08-29,27.505424,27.369976,27.505424,28.4
2021-08-30,27.774506,27.774506,27.515879,28.0
2021-08-31,27.834314,27.769876,27.532398,28.8
2021-09-01,28.077465,27.75227,27.538467,29.2
2021-09-02,28.324017,28.324017,27.540188,27.7
2021-09-03,28.104725,28.27001,27.54424,28.6
2021-09-04,28.182158,28.199516,27.546322,28.4
2021-09-05,28.177061,28.177061,28.177061,28.4
2021-09-06,28.176575,28.11109,28.11109,27.6
2021-09-07,27.943756,28.03969,28.03969,28.8
2021-09-08,28.131483,28.131483,27.975986,26.4
2021-09-09,27.583464,28.076239,27.924368,24.0
2021-09-10,26.874075,28.025705,27.88245,28.7
2021-09-11,27.316744,27.316744,27.85081,28.0
2021-09-12,27.53531,27.366686,27.53531,25.6
2021-09-13,27.166798,27.422777,27.577734,28.4
2021-09-14,27.527254,27.527254,27.614468,28.7
2021-09-15,27.887186,27.58496,27.648869,27.4
2021-09-16,27.76724,27.628187,27.673616,24.3
2021-09-17,27.064968,27.064968,27.69219,27.2
2021-09-18,27.179089,27.15294,27.701172,25.0
2021-09-19,26.87047,27.22442,26.87047,27.4
2021-09-20,27.096844,27.096844,26.999472,28.2
2021-09-21,27.45008,27.186563,27.102606,29.0
2021-09-22,27.912687,27.260998,27.192507,26.2
2021-09-23,27.427353,27.427353,27.274343,27.2
2021-09-24,27.374233,27.438482,27.31981,27.2
2021-09-25,27.329596,27.435596,27.357256,27.8
2021-09-26,27.46629,27.46629,27.46629,27.7
2021-09-27,27.522942,27.453434,27.453434,28.4
2021-09-28,27.762745,27.424168,27.424168,29.7
2021-09-29,28.247923,28.247923,27.415003,29.2
2021-09-30,28.428787,28.174168,27.433159,29.8
2021-10-01,28.67048,28.071526,27.413374,31.4
2021-10-02,29.152838,29.152838,27.398312,29.4
2021-10-03,29.088745,29.021515,29.088745,27.0
2021-10-04,28.331522,28.820892,28.89412,27.2
