date,scn-1,scn-2,scn-3,Actuals
2022-01-08,6.4200945,6.4200945,6.4200945,8.5
2022-01-09,6.3948674,6.425378,6.425378,8.881784197001252e-16
2022-01-10,6.567259,6.42969,6.42969,8.881784197001252e-16
2022-01-11,6.633332,6.633332,6.43111,8.881784197001252e-16
2022-01-12,6.6921,6.6408186,6.4307413,6.7
2022-01-13,6.684255,6.6375723,6.432563,34.8
2022-01-14,5.766153,5.766153,6.4314017,8.881784197001252e-16
2022-01-15,6.075011,5.9090133,6.075011,12.0
2022-01-16,5.96914,6.0237994,6.15942,2.7
2022-01-17,6.1726227,6.1726227,6.2140956,11.3
2022-01-18,6.0903525,6.2238283,6.2527905,2.0
2022-01-19,6.2579455,6.2584686,6.2819443,20.1
2022-01-20,5.920271,5.920271,6.307196,5.0
2022-01-21,6.069767,6.0464263,6.3302846,1.1000000000000005
2022-01-22,6.2558484,6.124617,6.2558484,14.0
2022-01-23,6.110374,6.110374,6.2929196,6.688085106382981
2022-01-24,6.1645503,6.1746755,6.3212976,8.881784197001252e-16
2022-01-25,6.373429,6.229138,6.3534193,16.0
2022-01-26,6.139247,6.139247,6.374987,6.688085106382981
2022-01-27,6.192271,6.203477,6.39214,2.0
2022-01-28,6.356656,6.253966,6.400817,1.8999999999999995
2022-01-29,6.4571466,6.4571466,6.4571466,0.29999999999999893
2022-01-30,6.5446324,6.492149,6.492149,0.09999999999999964
2022-01-31,6.6629763,6.5082564,6.5082564,8.881784197001252e-16
2022-02-01,6.779392,6.779392,6.4996614,8.881784197001252e-16
2022-02-02,6.8958807,6.8166666,6.4936047,8.881784197001252e-16
2022-02-03,7.045017,6.8479967,6.4967594,8.881784197001252e-16
2022-02-04,7.1109858,7.1109858,6.485741,17.7
2022-02-05,6.803407,7.0959606,6.803407,1.2000000000000002
2022-02-06,6.91685,7.0139275,6.730367,8.881784197001252e-16
2022-02-07,7.002948,7.002948,6.669424,1.0
2022-02-08,7.0300646,6.921432,6.6143427,2.5
2022-02-09,7.043824,6.843214,6.5760307,1.2999999999999998
2022-02-10,7.0479836,7.0479836,6.5408874,1.5
2022-02-11,7.0342083,6.9581532,6.5105667,1.5
2022-02-12,7.025627,6.8700795,7.025627,8.881784197001252e-16
2022-02-13,7.023017,7.023017,6.937459,6.4
2022-02-14,6.89253,6.9258084,6.8357606,2.1000000000000005
2022-02-15,6.8691416,6.8423696,6.740979,8.881784197001252e-16
2022-02-16,6.860775,6.860775,6.66532,15.5
2022-02-17,6.496924,6.7749157,6.59993,3.5000000000000004
2022-02-18,6.5417867,6.6880846,6.5473733,17.3
2022-02-19,6.0647974,6.0647974,6.0647974,9.7
2022-02-20,6.0323324,6.1754107,6.1754107,8.881784197001252e-16
2022-02-21,6.357991,6.245971,6.245971,12.6
2022-02-22,6.157348,6.157348,6.288508,10.3
2022-02-23,6.081837,6.2308216,6.3156695,2.3999999999999995
2022-02-24,6.291594,6.2698193,6.329321,8.881784197001252e-16
2022-02-25,6.4517393,6.4517393,6.3425922,4.0
2022-02-26,6.436233,6.430639,6.436233,8.881784197001252e-16
2022-02-27,6.440385,6.413432,6.426984,1.2999999999999998
2022-02-28,6.455661,6.455661,6.412153,9.6
2022-03-01,6.4157095,6.441396,6.400924,1.0
2022-03-02,6.434009,6.4376197,6.390462,8.881784197001252e-16
2022-03-03,6.463202,6.463202,6.3814154,36.1
2022-03-04,5.6132526,6.4476976,6.374948,7.0
2022-03-05,5.7864614,6.439291,5.7864614,1.6000000000000005
2022-03-06,6.1021323,6.1021323,5.9577065,60.99999999999999
2022-03-07,4.4378285,6.1651554,6.0803666,5.0
2022-03-08,5.0282183,6.202837,6.1494956,4.2
2022-03-09,5.5382214,5.5382214,6.1967955,1.0
2022-03-10,5.8836265,5.814299,6.2273684,8.881784197001252e-16
2022-03-11,6.098249,5.966734,6.257699,12.1
2022-03-12,6.039793,6.039793,6.039793,8.881784197001252e-16
2022-03-13,6.1887493,6.1069517,6.1069517,19.2
2022-03-14,5.9553213,6.155436,6.155436,5.2
2022-03-15,6.0573125,6.0573125,6.187022,8.881784197001252e-16
2022-03-16,6.2351565,6.1261597,6.2223525,6.688085106382982
2022-03-17,6.2651663,6.17814,6.247399,1.5
2022-03-18,6.265548,6.265548,6.2642736,16.8
2022-03-19,6.1498313,6.3067293,6.1498313,0.40000000000000036
2022-03-20,6.3201065,6.342545,6.2089314,5.5
2022-03-21,6.3574505,6.3574505,6.257663,5.0
2022-03-22,6.3793077,6.3651147,6.2880473,0.7999999999999998
2022-03-23,6.3649325,6.3726654,6.310109,7.0
2022-03-24,6.4273906,6.4273906,6.349329,0.5
2022-03-25,6.467132,6.4434075,6.3634973,6.688085106382982
2022-03-26,6.4687376,6.4477286,6.4687376,6.688085106382983
2022-03-27,6.5159516,6.5159516,6.5195084,6.688085106382983
2022-03-28,6.503134,6.5050898,6.5070505,8.881784197001252e-16
2022-03-29,6.5611873,6.4912844,6.4937024,8.881784197001252e-16
2022-03-30,6.606666,6.606666,6.4793663,36.7
2022-03-31,5.6220875,6.5707083,6.469898,8.881784197001252e-16
