date,scn-1,scn-2,scn-3,Actuals
2021-08-15,5.3753915,5.3753915,5.3753915,4.9
2021-08-16,4.956687,5.1954136,5.1954136,8.6
2021-08-17,6.209559,5.0574274,5.0574274,5.2
2021-08-18,5.195941,5.195941,4.988481,9.1
2021-08-19,6.4418535,5.0045857,4.9421935,6.1
2021-08-20,5.57707,4.9154205,4.908837,2.6
2021-08-21,4.3469634,4.3469634,4.878457,7.2
2021-08-22,5.653222,4.720437,5.653222,2.4
2021-08-23,4.425428,4.996405,5.455283,8.8
2021-08-24,6.273814,6.273814,5.3382654,3.3
2021-08-25,4.757233,5.7347507,5.248987,2.2
2021-08-26,4.0337873,5.4011087,5.1952715,0.09999999999999964
2021-08-27,3.2446928,3.2446928,5.158143,3.4
2021-08-28,3.7851362,3.7410362,5.1384563,3.2
2021-08-29,3.96541,4.1758027,3.96541,4.4
2021-08-30,4.429515,4.429515,4.261114,7.8
2021-08-31,5.894834,4.468633,4.3639135,6.1
2021-09-01,5.357956,4.399706,4.3508277,9.3
2021-09-02,6.3437104,6.3437104,4.1967587,7.9
2021-09-03,5.801327,5.1963525,4.011526,2.3
2021-09-04,3.740047,4.5271645,3.8412151,8.1
2021-09-05,5.2658362,5.2658362,5.2658362,5.2
2021-09-06,4.629518,4.6497774,4.6497774,2.3
2021-09-07,3.8165002,4.445509,4.445509,1.9
2021-09-08,3.4943955,3.4943955,4.392073,3.1
2021-09-09,3.6459284,3.7617853,4.4041824,3.8
2021-09-10,3.9798915,4.0037613,4.449545,0.0
2021-09-11,2.875714,2.875714,4.464992,6.4
2021-09-12,4.728996,3.4167733,4.728996,1.0000000000000004
2021-09-13,3.214884,3.8099775,4.568384,0.09999999999999964
2021-09-14,2.658165,2.658165,4.3797975,6.0
2021-09-15,4.568615,3.371495,4.190085,6.4
2021-09-16,5.2530365,3.9329376,4.049397,3.0
2021-09-17,3.8694713,3.8694713,3.9326644,0.0
2021-09-18,2.6354961,3.8170173,3.8561828,0.20000000000000018
2021-09-19,2.4398236,3.725469,2.4398236,0.0
2021-09-20,2.3731225,2.3731225,3.1461027,6.0
2021-09-21,4.5739794,3.291513,3.672224,3.4
2021-09-22,3.9753087,3.897714,3.9201612,2.0
2021-09-23,3.2208858,3.2208858,3.925949,0.0
2021-09-24,2.366525,3.4724221,3.8335037,3.4
