date,Predictions_update,Actuals,Predictions
2021-10-27,23.460907,23.3,23.460907
2021-10-28,23.236502,24.6,23.273201
2021-10-29,23.513695,24.5,23.20936
2021-10-30,23.41385,23.7,23.213478
2021-10-31,23.240303,21.3,23.230932
2021-11-01,22.87248,23.5,23.272572
2021-11-02,23.37492,22.9,23.32933
2021-11-03,23.254093,24.2,23.422274
2021-11-04,23.626488,25.1,23.518036
2021-11-05,23.841002,23.3,23.60373
2021-11-06,23.495987,22.7,23.670506
2021-11-07,23.482761,22.7,23.716753
2021-11-08,23.525509,24.7,23.751373
2021-11-09,23.931736,24.6,23.761578
2021-11-10,23.874807,23.8,23.757519
2021-11-11,23.70097,25.4,23.733868
2021-11-12,24.019445,23.4,23.69365
2021-11-13,23.489103,22.9,23.629496
2021-11-14,23.370844,22.8,23.55912
2021-11-15,23.299904,22.9,23.486713
2021-11-16,23.308176,24.7,23.441349
2021-11-17,23.663416,22.3,23.399212
2021-11-18,23.14129,23.3,23.360445
2021-11-19,23.329058,23.3,23.293919
2021-11-20,23.26397,24.4,23.218437
2021-11-21,23.454798,23.2,23.140972
2021-11-22,23.143583,22.4,23.0683
2021-11-23,22.937506,22.7,23.002613
2021-11-24,22.926353,22.8,22.925714
2021-11-25,22.8921,22.7,22.85521
2021-11-26,22.842793,23.5,22.800747
2021-11-27,22.98028,22.7,22.762188
2021-11-28,22.811434,22.9,22.748764
2021-11-29,22.82088,23.5,22.749008
2021-11-30,22.924953,22.2,22.759855
2021-12-01,22.728643,23.0,22.768023
2021-12-02,22.769657,24.5,22.758532
2021-12-03,23.108885,24.6,22.732452
2021-12-04,23.292042,23.5,22.777931
2021-12-05,22.996502,22.2,22.862469
2021-12-06,22.645042,24.3,22.886705
2021-12-07,23.100815,23.1,22.882599
2021-12-08,22.743898,23.2,22.800129
2021-12-09,22.801771,23.9,22.903568
2021-12-10,22.988235,24.8,22.96105
2021-12-11,23.205467,24.2,22.984144
2021-12-12,23.050413,24.1,22.995388
2021-12-13,23.029625,24.2,22.99275
2021-12-14,23.029884,23.8,22.982708
2021-12-15,22.90497,23.0,22.959925
2021-12-16,22.706903,24.3,22.956291
2021-12-17,23.031786,23.2,22.947107
2021-12-18,22.754616,23.4,22.949066
2021-12-19,22.792452,21.9,22.950373
2021-12-20,22.477945,22.7,22.943714
2021-12-21,22.660172,21.2,22.932781
2021-12-22,22.393173,22.2,22.934273
2021-12-23,22.63309,22.6,22.933575
2021-12-24,22.771496,23.1,22.929352
2021-12-25,22.930967,22.5,22.943613
2021-12-26,22.860277,22.2,22.959066
2021-12-27,22.820879,22.4,22.969543
2021-12-28,22.815645,22.5,22.985056
2021-12-29,22.845922,23.0,23.022114
2021-12-30,22.993387,21.7,23.052233
2021-12-31,22.591879,22.6,23.067493
2022-01-01,22.795658,22.2,23.083544
2022-01-02,22.640495,22.9,23.103136
2022-01-03,22.839027,20.5,23.131727
2022-01-04,22.255705,22.4,23.15011
2022-01-05,22.662521,22.3,23.202265
2022-01-06,22.64869,22.9,23.233616
2022-01-07,23.2534,22.8,23.2618
2022-01-08,23.382177,22.1,23.326767
2022-01-09,23.2432,22.2,23.344358
2022-01-10,23.28985,21.4,23.400234
2022-01-11,23.044939,21.3,23.36072
2022-01-12,22.952154,21.8,23.48204
2022-01-13,22.989185,21.7,23.52347
2022-01-14,22.886106,22.5,23.489008
2022-01-15,23.010931,21.4,23.60118
2022-01-16,22.684683,21.8,23.78932
2022-01-17,22.741573,21.7,23.620502
2022-01-18,22.659838,21.5,23.53308
2022-01-19,22.588177,22.1,23.59397
2022-01-20,22.66781,22.5,23.54351
2022-01-21,22.735994,21.8,23.538816
2022-01-22,22.707926,22.3,23.583508
2022-01-23,22.740402,22.8,23.680178
2022-01-24,22.794662,22.4,23.719471
2022-01-25,22.79175,23.3,23.69957
2022-01-26,22.858456,23.6,23.664412
2022-01-27,22.936003,23.0,23.614378
2022-01-28,22.959497,22.8,23.546444
2022-01-29,22.969416,22.7,23.446407
2022-01-30,22.969404,23.1,23.307407
2022-01-31,22.991266,23.0,23.18769
2022-02-01,22.99822,23.5,23.107306
2022-02-02,23.040045,22.4,23.052961
2022-02-03,23.01755,21.6,23.011524
2022-02-04,22.91454,22.4,22.983902
2022-02-05,22.861614,23.0,22.968327
2022-02-06,22.853483,23.7,22.960148
2022-02-07,22.92273,24.0,22.956766
2022-02-08,23.145212,22.6,22.962038
2022-02-09,23.085485,22.1,22.971384
2022-02-10,22.91442,23.3,22.989677
2022-02-11,23.00157,23.7,23.030432
2022-02-12,23.189436,22.6,23.110613
2022-02-13,23.047726,22.5,23.191246
2022-02-14,22.90451,22.2,23.257778
2022-02-15,22.722637,21.2,23.307875
2022-02-16,22.429552,22.3,23.348366
2022-02-17,22.410572,21.4,23.380808
2022-02-18,22.222914,21.5,23.42021
2022-02-19,22.163454,21.6,23.410805
2022-02-20,22.12832,21.9,23.432367
2022-02-21,22.16816,22.0,23.497835
2022-02-22,22.217869,20.5,23.49391
2022-02-23,22.088575,22.1,23.476934
2022-02-24,22.259714,23.3,23.443121
2022-02-25,22.529198,21.8,23.437567
2022-02-26,22.46824,22.7,23.473425
2022-02-27,22.594517,23.0,23.402838
2022-02-28,22.683945,22.1,23.367796
2022-03-01,22.667345,22.4,23.306425
2022-03-02,22.689274,22.5,23.211624
2022-03-03,22.71326,21.8,23.120275
2022-03-04,22.662704,22.8,23.06495
2022-03-05,22.709389,22.9,23.004936
2022-03-06,22.757086,22.8,22.940226
2022-03-07,22.786533,22.3,22.877079
2022-03-08,22.758991,21.9,22.842007
2022-03-09,22.694468,23.8,22.819033
2022-03-10,22.826597,22.6,22.803701
2022-03-11,22.815525,22.7,22.796024
2022-03-12,22.81674,22.2,22.795994
2022-03-13,22.759066,23.4,22.803003
2022-03-14,22.85375,23.5,22.816597
2022-03-15,22.99395,23.7,22.823143
2022-03-16,23.171991,22.9,22.806215
2022-03-17,23.171057,22.5,22.792048
2022-03-18,23.003746,23.4,22.779154
2022-03-19,23.139795,23.6,22.771496
2022-03-20,23.1286,22.1,22.802402
2022-03-21,22.709974,22.9,22.828987
2022-03-22,22.788412,23.3,22.862062
2022-03-23,22.891937,22.4,22.89876
2022-03-24,22.652834,22.9,22.93716
2022-03-25,22.744293,22.9,22.980371
2022-03-26,22.749077,22.9,23.019396
2022-03-27,22.75135,23.1,23.053793
