date,Predictions_update,Actuals,Predictions
2021-10-27,88.81848,90.0,88.81848
2021-10-28,90.22041,85.0,89.84133
2021-10-29,88.45595,83.0,90.106155
2021-10-30,87.90008,88.0,90.00638
2021-10-31,89.54973,93.0,89.73616
2021-11-01,91.178116,84.0,89.40898
2021-11-02,88.02113,88.0,89.08556
2021-11-03,89.17826,85.0,88.780396
2021-11-04,88.01264,81.0,88.50854
2021-11-05,86.623955,86.0,88.37243
2021-11-06,87.695244,93.0,88.36175
2021-11-07,90.0605,91.0,88.374725
2021-11-08,89.4556,85.0,88.36043
2021-11-09,87.15001,84.0,88.33015
2021-11-10,86.5038,88.0,88.26352
2021-11-11,87.77394,83.0,88.16964
2021-11-12,85.9669,91.0,88.04361
2021-11-13,88.677055,90.0,87.89985
2021-11-14,88.45914,93.0,87.74401
2021-11-15,89.413246,89.0,87.58328
2021-11-16,87.85724,83.0,87.41969
2021-11-17,85.52724,94.0,87.25596
2021-11-18,89.56432,89.0,87.08793
2021-11-19,87.7342,89.0,86.92624
2021-11-20,87.70828,85.0,86.81081
2021-11-21,86.158295,91.0,86.7158
2021-11-22,88.51905,94.0,86.68235
2021-11-23,89.33103,93.0,86.598305
2021-11-24,88.50121,92.0,86.522934
2021-11-25,87.75202,92.0,86.471825
2021-11-26,87.51762,86.0,86.47999
2021-11-27,85.40822,89.0,86.51882
2021-11-28,86.35456,90.0,86.55348
2021-11-29,86.56867,85.0,86.69083
2021-11-30,85.229095,89.0,86.94856
2021-12-01,86.30608,86.0,87.14105
2021-12-02,85.24245,82.0,87.29229
2021-12-03,84.203026,83.0,87.414986
2021-12-04,84.2261,84.0,87.543495
2021-12-05,84.60151,92.0,87.664734
2021-12-06,87.37044,82.0,87.787315
2021-12-07,84.48792,89.0,87.91436
2021-12-08,86.82962,88.0,88.0462
2021-12-09,87.00527,86.0,88.18691
2021-12-10,86.660866,80.0,88.323044
2021-12-11,84.804214,86.0,88.44354
2021-12-12,86.74522,85.0,88.54603
2021-12-13,86.93171,80.0,88.62612
2021-12-14,85.29818,86.0,88.686745
2021-12-15,86.89238,87.0,88.72724
2021-12-16,87.578094,83.0,88.75462
2021-12-17,86.313255,92.0,88.775604
2021-12-18,88.73966,90.0,88.79355
2021-12-19,88.42914,95.0,88.81615
