date,Predictions_update,Actuals,Predictions
2021-08-15,19.533373,19.3,19.533373
2021-08-16,19.58247,20.8,19.655542
2021-08-17,20.02242,19.0,19.688227
2021-08-18,19.551378,19.4,19.703018
2021-08-19,19.59266,18.9,19.710571
2021-08-20,19.384474,20.0,19.714865
2021-08-21,19.705538,20.0,19.716688
2021-08-22,19.781876,19.5,19.71764
2021-08-23,19.638918,19.2,19.717703
2021-08-24,19.499258,19.0,19.717361
2021-08-25,19.376738,19.2,19.716692
2021-08-26,19.400284,18.4,19.714716
2021-08-27,19.084305,19.6,19.712042
2021-08-28,19.440088,19.2,19.707258
2021-08-29,19.357119,20.9,19.702032
2021-08-30,19.979652,19.0,19.696472
2021-08-31,19.416445,18.6,19.6913
2021-09-01,19.173105,18.4,19.684618
2021-09-02,19.002304,20.4,19.677475
2021-09-03,19.678015,18.3,19.671143
2021-09-04,19.00723,20.4,19.66499
2021-09-05,19.701693,20.8,19.660372
2021-09-06,20.000526,19.8,19.655611
2021-09-07,19.72275,20.8,19.651516
2021-09-08,20.059195,21.0,19.648352
2021-09-09,20.192211,21.6,19.64489
2021-09-10,20.459633,20.0,19.64158
2021-09-11,19.997322,20.8,19.638746
2021-09-12,20.245932,20.3,19.63746
2021-09-13,20.106306,20.2,19.636938
2021-09-14,20.066065,19.8,19.637226
2021-09-15,19.911314,20.0,19.638088
2021-09-16,19.937511,20.8,19.639069
2021-09-17,20.185642,21.0,19.639824
2021-09-18,20.294004,18.8,19.640678
2021-09-19,19.579645,20.2,19.64178
2021-09-20,19.949247,20.8,19.643608
2021-09-21,20.157408,20.0,19.645157
2021-09-22,19.940926,20.6,19.646486
2021-09-23,20.128443,20.1,19.64926
2021-09-24,19.989899,18.8,19.653053
2021-09-25,19.533194,20.3,19.658213
2021-09-26,19.942047,21.6,19.662992
2021-09-27,20.402584,20.2,19.668858
2021-09-28,20.052673,20.0,19.67178
2021-09-29,19.975597,18.4,19.674374
2021-09-30,19.402567,20.8,19.68004
2021-10-01,20.063768,20.0,19.683979
2021-10-02,19.891464,21.2,19.68583
2021-10-03,20.281004,21.0,19.687222
2021-10-04,20.304838,20.2,19.690067
2021-10-05,20.088636,19.8,19.695612
2021-10-06,19.93176,18.6,19.699495
2021-10-07,19.48889,18.2,19.705832
2021-10-08,19.242504,18.8,19.712671
2021-10-09,19.290243,20.3,19.717527
2021-10-10,19.757608,19.8,19.715832
2021-10-11,19.703468,19.6,19.719904
2021-10-12,19.649527,21.8,19.723604
2021-10-13,20.37909,19.8,19.73153
2021-10-14,19.872297,18.9,19.741295
2021-10-15,19.523088,18.6,19.743914
2021-10-16,19.2989,17.8,19.747036
2021-10-17,18.885988,18.6,19.747583
2021-10-18,19.031574,19.2,19.744514
2021-10-19,19.238651,20.8,19.738886
2021-10-20,19.874844,19.4,19.74056
2021-10-21,19.534506,19.0,19.742128
2021-10-22,19.34333,20.9,19.741093
2021-10-23,19.996502,20.2,19.741636
2021-10-24,19.898638,19.8,19.739283
2021-10-25,19.762468,18.2,19.733294
2021-10-26,19.123804,19.3,19.733059
2021-10-27,19.361942,18.6,19.730524
2021-10-28,19.094126,18.8,19.725048
2021-10-29,19.088552,20.6,19.717989
2021-10-30,19.72224,21.6,19.713358
2021-10-31,20.239834,19.2,19.711266
2021-11-01,19.549261,18.1,19.711817
2021-11-02,19.023315,18.0,19.71315
2021-11-03,18.815393,19.0,19.715275
2021-11-04,19.081573,20.6,19.714586
2021-11-05,19.72015,21.1,19.714447
2021-11-06,20.072758,20.2,19.714592
2021-11-07,19.850155,19.3,19.71483
2021-11-08,19.529427,19.7,19.715134
2021-11-09,19.633612,20.9,19.717186
2021-11-10,20.06043,19.4,19.719278
2021-11-11,19.597486,20.8,19.72202
2021-11-12,20.070868,20.0,19.723303
2021-11-13,19.848295,20.0,19.725328
2021-11-14,19.85679,20.2,19.726582
2021-11-15,19.929094,19.8,19.727945
2021-11-16,19.801311,20.6,19.730213
2021-11-17,20.075212,19.5,19.73243
2021-11-18,19.71715,20.3,19.734724
2021-11-19,19.976599,19.2,19.737225
2021-11-20,19.595057,18.5,19.739504
2021-11-21,19.299158,19.8,19.741558
2021-11-22,19.68354,18.8,19.743608
2021-11-23,19.312002,18.6,19.745127
2021-11-24,19.170996,18.9,19.747545
2021-11-25,19.225817,20.6,19.750217
2021-11-26,19.881483,21.3,19.752028
2021-11-27,20.245243,21.2,19.755087
2021-11-28,20.305685,20.0,19.758436
2021-11-29,19.937954,20.4,19.761843
2021-11-30,20.10145,20.9,19.7653
2021-12-01,20.298641,21.0,19.768349
2021-12-02,20.37832,20.7,19.770845
2021-12-03,20.316536,21.2,19.772585
2021-12-04,20.510235,21.7,19.77542
2021-12-05,20.714294,20.2,19.777847
2021-12-06,20.262861,21.4,19.777689
2021-12-07,20.62804,21.4,19.778933
2021-12-08,20.651796,21.2,19.77861
2021-12-09,20.619839,21.8,19.779995
2021-12-10,20.813366,22.4,19.781147
2021-12-11,21.032555,22.4,19.782158
2021-12-12,21.10325,22.0,19.78318
2021-12-13,21.049164,21.6,19.784637
2021-12-14,20.950926,21.9,19.78663
2021-12-15,20.974289,20.6,19.788452
2021-12-16,20.640244,21.0,19.788136
2021-12-17,20.638983,20.2,19.789337
2021-12-18,20.407888,20.7,19.789804
2021-12-19,20.448523,19.2,19.792011
2021-12-20,20.025747,20.0,19.792753
2021-12-21,20.09707,20.4,19.792067
2021-12-22,20.167885,19.2,19.791689
2021-12-23,19.86166,20.8,19.791475
2021-12-24,20.17145,19.6,19.791277
2021-12-25,19.937853,20.2,19.791046
2021-12-26,20.029396,21.2,19.790771
2021-12-27,20.269972,21.0,19.790453
2021-12-28,20.298012,20.0,19.79009
2021-12-29,20.104109,20.0,19.78969
2021-12-30,20.034958,20.4,19.789255
2021-12-31,20.096115,20.9,19.78879
2022-01-01,20.197447,20.5,19.788298
2022-01-02,20.15608,20.2,19.787777
2022-01-03,20.090475,19.2,19.787233
2022-01-04,19.828312,20.6,19.78666
2022-01-05,20.038069,19.4,19.78606
2022-01-06,19.83148,21.4,19.785433
2022-01-07,20.14068,21.4,19.784779
2022-01-08,20.237818,18.4,19.784096
2022-01-09,19.718056,19.0,19.783386
2022-01-10,19.621523,17.5,19.782646
2022-01-11,19.319136,18.2,19.78188
2022-01-12,19.261042,18.9,19.781086
2022-01-13,19.294931,19.6,19.78027
2022-01-14,19.448502,19.2,19.779428
2022-01-15,19.431194,20.4,19.778568
2022-01-16,19.78285,20.2,19.777687
2022-01-17,19.886208,20.4,19.776787
2022-01-18,19.997131,19.2,19.77587
2022-01-19,19.651241,19.0,19.774939
2022-01-20,19.43757,20.4,19.773996
2022-01-21,19.775225,19.9,19.773046
2022-01-22,19.748335,20.2,19.77209
2022-01-23,19.831276,20.0,19.771133
2022-01-24,19.793001,19.0,19.770174
2022-01-25,19.47308,21.2,19.769217
2022-01-26,19.99328,20.2,19.76826
2022-01-27,19.888273,19.1,19.767307
2022-01-28,19.538925,20.5,19.766361
2022-01-29,19.837317,19.4,19.765423
2022-01-30,19.596762,19.4,19.764496
2022-01-31,19.532312,18.6,19.763582
2022-02-01,19.243214,21.5,19.762688
2022-02-02,20.009222,20.6,19.761816
2022-02-03,19.999708,19.6,19.760967
2022-02-04,19.731667,21.0,19.760141
2022-02-05,20.083084,19.0,19.759335
2022-02-06,19.574068,21.5,19.758556
2022-02-07,20.183443,20.6,19.757803
2022-02-08,20.104092,19.4,19.757072
2022-02-09,19.750528,20.8,19.756361
2022-02-10,20.072899,20.2,19.755674
2022-02-11,19.974613,21.2,19.755016
2022-02-12,20.254173,20.3,19.754387
2022-02-13,20.081745,20.6,19.75379
2022-02-14,20.136868,18.0,19.75323
2022-02-15,19.414341,19.0,19.752703
2022-02-16,19.477762,20.2,19.752195
2022-02-17,19.757038,21.0,19.751717
2022-02-18,20.073013,19.8,19.751266
2022-02-19,19.848585,20.2,19.750854
2022-02-20,19.919744,20.3,19.750488
2022-02-21,19.965118,20.4,19.750153
2022-02-22,20.012453,19.8,19.74985
2022-02-23,19.861057,19.4,19.749569
2022-02-24,19.70402,20.5,19.749302
2022-02-25,19.939253,19.4,19.74904
2022-02-26,19.710007,20.2,19.748793
2022-02-27,19.857878,20.6,19.748564
2022-02-28,20.015907,20.8,19.748346
2022-03-01,20.135988,19.4,19.748142
2022-03-02,19.787807,19.3,19.747946
2022-03-03,19.655798,18.9,19.747746
2022-03-04,19.493809,18.8,19.74755
2022-03-05,19.366123,19.0,19.747355
2022-03-06,19.346096,20.4,19.747154
2022-03-07,19.73534,21.0,19.74694
2022-03-08,20.076605,20.5,19.746716
2022-03-09,20.066408,20.8,19.746485
2022-03-10,20.160023,19.9,19.746258
2022-03-11,19.937101,19.8,19.746037
2022-03-12,19.832254,20.0,19.745825
2022-03-13,19.840662,21.3,19.74562
2022-03-14,20.19305,21.2,19.745422
2022-03-15,20.305155,19.4,19.745232
2022-03-16,19.854269,20.0,19.745047
2022-03-17,19.872639,19.4,19.744871
2022-03-18,19.68994,20.2,19.744709
2022-03-19,19.83939,20.6,19.744562
2022-03-20,19.99665,21.3,19.744432
2022-03-21,20.251785,20.8,19.744318
2022-03-22,20.228516,20.2,19.744219
2022-03-23,20.07301,20.6,19.744137
2022-03-24,20.128387,20.4,19.744068
2022-03-25,20.091648,20.6,19.744017
2022-03-26,20.137867,20.7,19.743984
2022-03-27,20.179384,18.6,19.743969
2022-03-28,19.688824,20.9,19.743975
2022-03-29,20.049665,21.6,19.743998
2022-03-30,20.25698,18.2,19.744038
2022-03-31,19.637243,18.0,19.744097
