date,Predictions_update,Actuals,Predictions
2021-08-15,27.544853,28.0,27.544853
2021-08-16,27.698761,27.5,27.598951
2021-08-17,27.651705,28.8,27.652695
2021-08-18,28.00965,28.4,27.700851
2021-08-19,28.044664,27.8,27.728315
2021-08-20,27.850662,27.7,27.74292
2021-08-21,27.745783,27.5,27.744854
2021-08-22,27.649654,28.2,27.752178
2021-08-23,27.845003,27.9,27.761698
2021-08-24,27.844013,27.6,27.775309
2021-08-25,27.762028,26.6,27.79476
2021-08-26,27.36103,27.2,27.814816
2021-08-27,27.398222,27.2,27.819765
2021-08-28,27.420681,27.9,27.81896
2021-08-29,27.665163,28.4,27.81314
2021-08-30,28.009762,28.0,27.801384
2021-08-31,27.980583,28.8,27.78435
2021-09-01,28.294077,29.2,27.762693
2021-09-02,28.555662,27.7,27.736286
2021-09-03,28.145123,28.6,27.70502
2021-09-04,28.26631,28.4,27.668919
2021-09-05,28.23684,28.4,27.626745
2021-09-06,28.212845,27.6,27.580385
2021-09-07,27.898619,28.8,27.52816
2021-09-08,28.143782,26.4,27.476265
2021-09-09,27.506851,24.0,27.426405
2021-09-10,26.945293,28.7,27.382782
2021-09-11,27.382774,28.0,27.347696
2021-09-12,27.581207,25.6,27.319962
2021-09-13,27.245394,28.4,27.302723
2021-09-14,27.613699,28.7,27.320717
2021-09-15,28.004715,27.4,27.349234
2021-09-16,27.742767,24.3,27.381939
2021-09-17,26.97919,27.2,27.414917
2021-09-18,27.355125,25.0,27.4427
2021-09-19,26.97788,27.4,27.46246
2021-09-20,27.576237,28.2,27.47266
2021-09-21,28.051855,29.0,27.47292
2021-09-22,28.313185,26.2,27.464317
2021-09-23,27.56414,27.2,27.449429
2021-09-24,27.610134,27.2,27.428356
2021-09-25,27.546215,27.8,27.402573
2021-09-26,27.67444,27.7,27.380907
2021-09-27,27.62923,28.4,27.36102
2021-09-28,27.922207,29.7,27.339996
2021-09-29,28.659115,29.2,27.31792
2021-09-30,28.777882,29.8,27.294405
2021-10-01,29.185736,31.4,27.269117
2021-10-02,29.92186,29.4,27.241985
2021-10-03,29.8343,27.0,27.212849
2021-10-04,28.855711,27.2,27.181782
2021-10-05,28.185146,27.4,27.148975
2021-10-06,27.74933,28.6,27.11496
2021-10-07,27.80459,29.2,27.079962
2021-10-08,28.076288,30.0,27.04453
2021-10-09,28.475664,28.6,27.009682
2021-10-10,28.49181,28.2,26.976513
2021-10-11,28.426882,28.4,26.945301
2021-10-12,28.34725,28.4,26.923998
2021-10-13,28.289047,29.9,26.910559
2021-10-14,28.41407,29.4,26.901623
2021-10-15,28.446709,29.4,26.895245
2021-10-16,28.428438,29.4,26.890629
2021-10-17,28.397839,29.6,26.887213
2021-10-18,28.38942,30.2,26.884182
2021-10-19,28.463713,29.1,26.880085
2021-10-20,28.351574,29.2,26.875252
2021-10-21,28.271496,28.9,26.86969
2021-10-22,28.188332,29.6,26.871464
2021-10-23,28.258158,26.8,26.876543
2021-10-24,27.906504,27.6,26.883247
2021-10-25,27.750103,28.9,26.89141
2021-10-26,27.851213,29.8,26.900894
2021-10-27,28.229334,28.4,26.911098
2021-10-28,28.090883,30.2,26.921904
2021-10-29,28.451597,30.6,26.932863
2021-10-30,28.766285,27.4,26.943907
2021-10-31,28.117134,24.3,26.95475
2021-11-01,27.147646,29.0,26.965166
2021-11-02,27.532812,28.2,26.974958
2021-11-03,27.695038,29.9,26.983335
2021-11-04,28.290064,31.0,26.99054
2021-11-05,28.932833,27.6,26.996134
2021-11-06,28.21952,28.0,26.999922
2021-11-07,27.900232,28.0,27.001657
2021-11-08,27.758501,29.9,27.001139
2021-11-09,28.329,28.6,26.997978
2021-11-10,28.228453,28.0,26.993145
2021-11-11,27.983164,30.6,26.984951
2021-11-12,28.685263,28.4,26.974312
2021-11-13,28.431736,29.3,26.961218
2021-11-14,28.5342,27.9,26.946346
2021-11-15,28.204239,28.5,26.929922
2021-11-16,28.190487,28.6,26.912819
2021-11-17,28.218569,26.8,26.89383
2021-11-18,27.77573,28.0,26.875908
2021-11-19,27.803694,28.6,26.85819
2021-11-20,28.014881,28.8,26.840887
2021-11-21,28.18775,26.8,26.826607
2021-11-22,27.695553,27.8,26.818457
2021-11-23,27.699842,28.2,26.812939
2021-11-24,27.821012,27.6,26.809753
2021-11-25,27.693079,27.1,26.809244
2021-11-26,27.451323,26.8,26.8122
2021-11-27,27.26006,27.2,26.818468
2021-11-28,27.391836,26.7,26.827925
2021-11-29,27.408806,28.6,26.840307
2021-11-30,27.882639,28.4,26.855444
2021-12-01,27.97947,26.7,26.87317
2021-12-02,27.627169,29.4,26.89289
2021-12-03,28.166702,29.4,26.914122
2021-12-04,28.415071,27.0,26.937008
2021-12-05,27.656084,28.6,26.961185
2021-12-06,27.895515,28.6,26.986282
2021-12-07,28.00318,27.4,27.011957
2021-12-08,27.625708,25.2,27.038124
2021-12-09,26.813961,27.0,27.06445
2021-12-10,26.866436,28.4,27.090416
2021-12-11,27.220512,28.0,27.116428
2021-12-12,27.245646,28.0,27.141516
2021-12-13,27.248106,28.6,27.166016
2021-12-14,27.504457,28.2,27.190348
2021-12-15,27.446886,27.0,27.212729
2021-12-16,26.921972,28.8,27.233072
2021-12-17,27.337082,29.2,27.25179
2021-12-18,27.722431,28.4,27.267702
2021-12-19,27.589432,26.4,27.280748
2021-12-20,26.76649,25.9,27.291035
2021-12-21,26.616396,28.4,27.298023
2021-12-22,26.911068,26.2,27.301405
2021-12-23,26.804474,25.9,27.30111
2021-12-24,26.74184,28.2,27.297169
2021-12-25,27.146477,24.6,27.28977
2021-12-26,26.7076,26.0,27.27928
2021-12-27,26.804825,24.6,27.26624
2021-12-28,26.61416,26.4,27.251348
2021-12-29,27.154118,26.4,27.235443
2021-12-30,27.401533,24.6,27.219463
2021-12-31,26.93789,26.3,27.204395
2022-01-01,27.45869,24.8,27.191208
2022-01-02,27.038572,26.8,27.180803
2022-01-03,27.69863,25.2,27.173944
2022-01-04,27.185007,25.6,27.171196
2022-01-05,27.243668,25.3,27.172897
2022-01-06,27.083609,25.5,27.17914
