date,Predictions_update,Actuals,Predictions
2022-01-08,5.930913,8.5,5.930914
2022-01-09,6.645493,8.881784197001252e-16,6.68723
2022-01-10,7.4781537,8.881784197001252e-16,7.527809
2022-01-11,8.714569,8.881784197001252e-16,8.339216
2022-01-12,10.194064,6.7,8.9255705
2022-01-13,11.141133,34.8,9.449464
2022-01-14,7.411842,8.881784197001252e-16,9.853062
2022-01-15,9.529286,12.0,10.026408
2022-01-16,9.09789,2.7,9.71754
2022-01-17,9.364559,11.3,9.423743
2022-01-18,8.914296,2.0,9.137929
2022-01-19,8.772086,20.1,8.932428
2022-01-20,8.273137,5.0,8.867816
2022-01-21,8.142527,1.1000000000000005,8.75046
2022-01-22,8.210479,14.0,8.373271
2022-01-23,8.138147,6.688085106382981,8.098818
2022-01-24,7.928801,8.881784197001252e-16,7.6892242
2022-01-25,7.732715,16.0,7.3729925
2022-01-26,7.238822,6.688085106382981,6.850882
2022-01-27,6.7903976,2.0,6.444527
2022-01-28,6.7131467,1.8999999999999995,6.3421073
2022-01-29,6.9634757,0.29999999999999893,6.495453
2022-01-30,7.673758,0.09999999999999964,6.9847736
2022-01-31,8.95146,8.881784197001252e-16,7.829192
2022-02-01,10.775586,8.881784197001252e-16,8.936817
2022-02-02,13.050937,8.881784197001252e-16,10.170087
2022-02-03,15.298868,8.881784197001252e-16,11.349626
2022-02-04,15.98926,17.7,12.121664
2022-02-05,12.651357,1.2000000000000002,12.102745
2022-02-06,12.146771,8.881784197001252e-16,11.539554
2022-02-07,11.353751,1.0,10.994495
2022-02-08,10.317866,2.5,10.507367
2022-02-09,9.145338,1.2999999999999998,10.072176
2022-02-10,8.450573,1.5,9.826361
2022-02-11,7.6187735,1.5,9.511247
2022-02-12,6.902497,8.881784197001252e-16,9.228356
2022-02-13,6.466684,6.4,8.99276
2022-02-14,5.3954654,2.1000000000000005,8.821469
2022-02-15,5.2102013,8.881784197001252e-16,8.066364
2022-02-16,5.2263017,15.5,7.2954483
2022-02-17,4.5037756,3.5000000000000004,6.6292353
2022-02-18,5.3819547,17.3,6.3463974
2022-02-19,5.441386,9.7,6.5855813
2022-02-20,6.0179076,8.881784197001252e-16,7.455858
2022-02-21,6.779214,12.6,8.9353485
2022-02-22,7.0366893,10.3,10.765008
2022-02-23,7.492295,2.3999999999999995,12.530445
2022-02-24,7.675341,8.881784197001252e-16,12.43712
2022-02-25,7.675341,4.0,11.066453
2022-02-26,7.675341,8.881784197001252e-16,9.927364
2022-02-27,6.993352,1.2999999999999998,9.120621
2022-02-28,6.1507916,9.6,8.550536
2022-03-01,5.612634,1.0,8.1059675
2022-03-02,5.2247996,8.881784197001252e-16,7.7382274
2022-03-03,5.0368967,36.1,7.4980073
2022-03-04,4.199843,7.0,7.2344346
2022-03-05,4.836619,1.6000000000000005,7.006335
2022-03-06,4.942897,60.99999999999999,6.842339
2022-03-07,3.3125026,5.0,6.7518578
2022-03-08,4.5502496,4.2,6.719214
2022-03-09,4.1029353,1.0,6.735077
2022-03-10,3.3843572,8.881784197001252e-16,6.7983065
2022-03-11,2.6571112,12.1,6.8805094
2022-03-12,2.2138815,8.881784197001252e-16,6.985732
2022-03-13,2.2224588,19.2,7.034167
2022-03-14,2.1265802,5.2,7.048485
2022-03-15,1.5653663,8.881784197001252e-16,6.8906345
2022-03-16,2.3923397,6.688085106382982,6.789347
2022-03-17,4.07096,1.5,6.8225236
2022-03-18,6.106785,16.8,7.1039343
2022-03-19,7.2709575,0.40000000000000036,7.2988806
2022-03-20,8.864646,5.5,7.5204244
2022-03-21,11.46634,5.0,7.747287
2022-03-22,13.0812235,0.7999999999999998,7.8131723
2022-03-23,14.743754,7.0,7.812441
2022-03-24,14.446041,0.5,7.6751423
2022-03-25,13.899753,6.688085106382982,7.4970417
2022-03-26,12.125641,6.688085106382983,7.3762603
2022-03-27,10.600523,6.688085106382983,7.279357
2022-03-28,9.314384,8.881784197001252e-16,7.3710127
2022-03-29,8.759504,8.881784197001252e-16,7.4390984
2022-03-30,7.988358,36.7,7.51897
2022-03-31,4.30897,8.881784197001252e-16,7.6211953
