date,Predictions_update,Actuals,Predictions
2021-08-15,4.9376636,4.9,4.937662
2021-08-16,4.5347795,8.6,4.5505614
2021-08-17,6.059457,5.2,4.3084593
2021-08-18,4.750753,9.1,4.1596947
2021-08-19,6.412973,6.1,4.072808
2021-08-20,5.2241063,2.6,4.0276814
2021-08-21,3.6653311,7.2,4.0126114
2021-08-22,5.582626,2.4,4.0223527
2021-08-23,3.5509639,8.8,4.0499372
2021-08-24,6.343621,3.3,4.0912585
2021-08-25,3.9112473,2.2,4.1411295
2021-08-26,3.6427622,0.09999999999999964,4.1955357
2021-08-27,3.205816,3.4,4.2490435
2021-08-28,4.1437383,3.2,4.2993517
2021-08-29,4.015993,4.4,4.3420973
2021-08-30,4.4093146,7.8,4.3750734
2021-08-31,5.98111,6.1,4.3961425
2021-09-01,5.216543,9.3,4.436362
2021-09-02,6.6863465,7.9,4.48968
2021-09-03,6.0587525,2.3,4.5410433
2021-09-04,3.6210237,8.1,4.5857363
2021-09-05,6.0420637,5.2,4.6226673
2021-09-06,4.795301,2.3,4.6509914
2021-09-07,4.0715613,1.9,4.670618
2021-09-08,4.14328,3.1,4.682069
2021-09-09,4.4991417,3.8,4.6849084
2021-09-10,4.626909,0.0,4.678796
2021-09-11,3.5711696,6.4,4.6634817
2021-09-12,5.1876273,1.0000000000000004,4.639494
2021-09-13,3.6096618,0.09999999999999964,4.60776
2021-09-14,3.3629296,6.0,4.569032
2021-09-15,4.8463373,6.4,4.5241327
2021-09-16,5.2582827,3.0,4.4748993
2021-09-17,3.9563935,0.0,4.4200664
2021-09-18,3.2381136,0.20000000000000018,4.361332
2021-09-19,3.2507164,0.0,4.295381
2021-09-20,3.0637872,6.0,4.22884
2021-09-21,5.0541234,3.4,4.1620774
2021-09-22,4.3956404,2.0,4.100362
2021-09-23,3.916191,0.0,4.0462437
2021-09-24,3.3589034,3.4,4.0012307
2021-09-25,4.2640576,4.2,3.9615576
2021-09-26,4.856886,3.8,3.927016
2021-09-27,4.8691144,7.9,3.8929336
2021-09-28,6.2651424,7.3,3.8693786
2021-09-29,6.403009,6.3,3.8520892
2021-09-30,6.094821,8.2,3.837751
2021-10-01,6.439266,8.3,3.8322794
2021-10-02,6.4578032,5.1,3.8286233
2021-10-03,5.6744213,1.1,3.8304055
2021-10-04,4.749778,3.0,3.8412685
2021-10-05,4.822814,1.7999999999999998,3.866489
2021-10-06,4.3971934,8.7,3.8966513
2021-10-07,5.5373683,8.7,3.9276874
2021-10-08,5.7224674,8.6,3.9555447
2021-10-09,5.95085,6.9,3.9791532
2021-10-10,5.5188227,4.4,3.9983814
2021-10-11,4.6847997,4.6,4.010996
2021-10-12,4.546141,6.2,4.016172
2021-10-13,4.7914805,4.3,4.0227575
2021-10-14,4.2927375,4.2,4.032144
2021-10-15,4.1202517,7.5,4.038439
2021-10-16,5.133272,7.0,4.0401783
2021-10-17,5.223115,4.9,4.0370264
2021-10-18,4.506352,9.6,4.028854
2021-10-19,6.2283506,7.3,4.015829
2021-10-20,5.674866,7.3,3.9983253
2021-10-21,5.706303,9.0,3.9766996
2021-10-22,6.4912424,4.3,3.9516845
2021-10-23,4.7073183,5.1,3.9234784
2021-10-24,4.820558,2.0,3.8934565
2021-10-25,3.5064914,3.4,3.8612607
2021-10-26,3.8485758,7.5,3.8250632
2021-10-27,5.5904384,6.9,3.77955
2021-10-28,5.454261,6.0,3.7319221
2021-10-29,5.045848,7.700000000000001,3.676436
2021-10-30,5.811871,6.0,3.617904
2021-10-31,5.075283,4.4,3.5599332
2021-11-01,4.3490615,0.0,3.5036407
2021-11-02,2.8950727,7.8,3.4515533
2021-11-03,5.8190465,4.3,3.4139292
2021-11-04,4.3069987,5.3,3.388399
2021-11-05,4.7569065,8.9,3.3743825
2021-11-06,6.457178,3.4,3.370558
2021-11-07,3.896602,2.0,3.3757615
2021-11-08,3.5952654,5.4,3.3891768
