date,Predictions,Actuals
2021-10-27,23.238419,23.3
2021-10-28,23.166435,24.6
2021-10-29,23.211895,24.5
2021-10-30,23.2596,23.7
2021-10-31,23.282778,21.3
2021-11-01,23.299625,23.5
2021-11-02,23.301504,22.9
2021-11-03,23.307413,24.2
2021-11-04,23.303585,25.1
2021-11-05,23.296234,23.3
2021-11-06,23.276867,22.7
2021-11-07,23.243906,22.7
2021-11-08,23.235065,24.7
2021-11-09,23.186802,24.6
2021-11-10,23.169897,23.8
2021-11-11,23.157629,25.4
2021-11-12,23.133423,23.4
2021-11-13,23.119759,22.9
2021-11-14,23.088396,22.8
2021-11-15,23.048567,22.9
2021-11-16,22.99649,24.7
2021-11-17,22.946838,22.3
2021-11-18,22.896486,23.3
2021-11-19,22.872807,23.3
2021-11-20,22.864595,24.4
2021-11-21,22.859825,23.2
2021-11-22,22.862442,22.4
2021-11-23,22.866657,22.7
2021-11-24,22.871902,22.8
2021-11-25,22.87847,22.7
2021-11-26,22.886574,23.5
2021-11-27,22.89573,22.7
2021-11-28,22.905622,22.9
2021-11-29,22.913378,23.5
2021-11-30,22.913105,22.2
2021-12-01,22.909706,23.0
2021-12-02,22.906609,24.5
2021-12-03,22.906221,24.6
2021-12-04,22.903957,23.5
2021-12-05,22.904472,22.2
2021-12-06,22.905375,24.3
2021-12-07,22.906391,23.1
2021-12-08,22.908134,23.2
2021-12-09,22.90839,23.9
2021-12-10,22.9092,24.8
2021-12-11,22.909784,24.2
2021-12-12,22.910566,24.1
2021-12-13,22.911655,24.2
2021-12-14,22.912409,23.8
2021-12-15,22.913279,23.0
2021-12-16,22.914942,24.3
2021-12-17,22.916836,23.2
2021-12-18,22.921087,23.4
2021-12-19,22.92548,21.9
2021-12-20,22.929234,22.7
2021-12-21,22.929726,21.2
2021-12-22,22.93352,22.2
2021-12-23,22.93865,22.6
2021-12-24,22.942606,23.1
2021-12-25,22.94528,22.5
2021-12-26,22.94691,22.2
2021-12-27,22.948744,22.4
2021-12-28,22.949652,22.5
2021-12-29,22.95111,23.0
2021-12-30,22.952225,21.7
2021-12-31,22.952543,22.6
2022-01-01,22.952837,22.2
2022-01-02,22.953533,22.9
2022-01-03,22.955425,20.5
2022-01-04,22.956532,22.4
2022-01-05,22.95792,22.3
2022-01-06,22.960022,22.9
2022-01-07,22.962805,22.8
2022-01-08,22.966036,22.1
2022-01-09,22.969477,22.2
2022-01-10,22.973183,21.4
2022-01-11,22.977495,21.3
2022-01-12,22.98285,21.8
2022-01-13,22.988525,21.7
2022-01-14,22.994019,22.5
2022-01-15,23.00222,21.4
2022-01-16,23.01356,21.8
2022-01-17,23.017288,21.7
2022-01-18,23.02341,21.5
2022-01-19,23.033714,22.1
2022-01-20,23.039711,22.5
2022-01-21,23.047009,21.8
2022-01-22,23.055695,22.3
2022-01-23,23.069101,22.8
2022-01-24,23.080927,22.4
2022-01-25,23.09011,23.3
2022-01-26,23.091928,23.6
2022-01-27,23.091602,23.0
2022-01-28,23.090107,22.8
2022-01-29,23.088028,22.7
2022-01-30,23.085438,23.1
2022-01-31,23.082077,23.0
2022-02-01,23.078308,23.5
2022-02-02,23.07438,22.4
2022-02-03,23.070333,21.6
2022-02-04,23.066566,22.4
2022-02-05,23.064064,23.0
2022-02-06,23.06459,23.7
2022-02-07,23.063696,24.0
2022-02-08,23.061884,22.6
2022-02-09,23.059849,22.1
2022-02-10,23.057512,23.3
2022-02-11,23.055386,23.7
2022-02-12,23.052954,22.6
2022-02-13,23.049973,22.5
2022-02-14,23.046223,22.2
2022-02-15,23.041777,21.2
2022-02-16,23.036718,22.3
2022-02-17,23.031046,21.4
2022-02-18,23.026127,21.5
2022-02-19,23.020582,21.6
2022-02-20,23.01648,21.9
2022-02-21,23.014595,22.0
2022-02-22,23.011848,20.5
2022-02-23,23.01204,22.1
2022-02-24,23.012413,23.3
2022-02-25,23.018364,21.8
2022-02-26,23.028522,22.7
2022-02-27,23.022173,23.0
2022-02-28,23.023617,22.1
2022-03-01,23.020761,22.4
2022-03-02,23.012386,22.5
2022-03-03,23.00514,21.8
2022-03-04,23.002289,22.8
2022-03-05,22.998425,22.9
2022-03-06,22.994581,22.8
2022-03-07,22.99148,22.3
2022-03-08,22.98944,21.9
2022-03-09,22.988636,23.8
2022-03-10,22.989222,22.6
2022-03-11,22.991182,22.7
2022-03-12,22.994455,22.2
2022-03-13,22.998756,23.4
2022-03-14,23.00373,23.5
2022-03-15,23.008825,23.7
2022-03-16,23.013578,22.9
2022-03-17,23.018034,22.5
2022-03-18,23.021852,23.4
2022-03-19,23.02516,23.6
2022-03-20,23.027992,22.1
2022-03-21,23.03033,22.9
2022-03-22,23.03074,23.3
2022-03-23,23.02976,22.4
2022-03-24,23.028336,22.9
2022-03-25,23.026705,22.9
2022-03-26,23.024992,22.9
2022-03-27,23.023294,23.1
2022-03-28,23.021612,24.2
2022-03-29,23.019953,22.0
2022-03-30,23.018358,22.3
2022-03-31,23.016863,22.4
