date,Predictions,Actuals
2021-10-27,86.467064,90.0
2021-10-28,86.5914,85.0
2021-10-29,86.672585,83.0
2021-10-30,86.732956,88.0
2021-10-31,86.77904,93.0
2021-11-01,86.814964,84.0
2021-11-02,86.8456,88.0
2021-11-03,86.87346,85.0
2021-11-04,86.90203,81.0
2021-11-05,86.932945,86.0
2021-11-06,86.9671,93.0
2021-11-07,87.005035,91.0
2021-11-08,87.04646,85.0
2021-11-09,87.09199,84.0
2021-11-10,87.1407,88.0
2021-11-11,87.19231,83.0
2021-11-12,87.245926,91.0
2021-11-13,87.301315,90.0
2021-11-14,87.35798,93.0
2021-11-15,87.41555,89.0
2021-11-16,87.47354,83.0
2021-11-17,87.53151,94.0
2021-11-18,87.589134,89.0
2021-11-19,87.645935,89.0
2021-11-20,87.70153,85.0
2021-11-21,87.75573,91.0
2021-11-22,87.80823,94.0
2021-11-23,87.858826,93.0
2021-11-24,87.90733,92.0
2021-11-25,87.953636,92.0
2021-11-26,87.997574,86.0
2021-11-27,88.03902,89.0
2021-11-28,88.07787,90.0
2021-11-29,88.11428,85.0
2021-11-30,88.14844,89.0
2021-12-01,88.180046,86.0
2021-12-02,88.20915,82.0
2021-12-03,88.23568,83.0
2021-12-04,88.260445,84.0
2021-12-05,88.28249,92.0
2021-12-06,88.302055,82.0
2021-12-07,88.31927,89.0
2021-12-08,88.33433,88.0
2021-12-09,88.34781,86.0
2021-12-10,88.35961,80.0
2021-12-11,88.36973,86.0
2021-12-12,88.37847,85.0
2021-12-13,88.385826,80.0
2021-12-14,88.39201,86.0
2021-12-15,88.39699,87.0
2021-12-16,88.40088,83.0
2021-12-17,88.40401,92.0
2021-12-18,88.405396,90.0
2021-12-19,88.405365,95.0
2021-12-20,88.40607,90.0
2021-12-21,88.40744,91.0
2021-12-22,88.40766,93.0
2021-12-23,88.40736,89.0
2021-12-24,88.40675,88.0
2021-12-25,88.40624,91.0
2021-12-26,88.40579,94.0
2021-12-27,88.40525,94.0
2021-12-28,88.40459,89.0
2021-12-29,88.40376,85.0
2021-12-30,88.40286,95.0
2021-12-31,88.40181,88.0
2022-01-01,88.400604,92.0
2022-01-02,88.399155,86.0
2022-01-03,88.397415,96.0
2022-01-04,88.39578,92.0
2022-01-05,88.39442,91.0
2022-01-06,88.39296,90.0
2022-01-07,88.39153,92.0
2022-01-08,88.39007,89.0
2022-01-09,88.388504,89.0
2022-01-10,88.38692,90.0
2022-01-11,88.38538,89.0
2022-01-12,88.38362,91.0
2022-01-13,88.38192,92.0
2022-01-14,88.38039,88.0
2022-01-15,88.37874,94.0
2022-01-16,88.37706,92.0
2022-01-17,88.37569,90.0
2022-01-18,88.37435,95.0
2022-01-19,88.37296,92.0
2022-01-20,88.37176,92.0
2022-01-21,88.370575,91.0
2022-01-22,88.3694,89.0
2022-01-23,88.36817,85.0
2022-01-24,88.367165,88.0
2022-01-25,88.36609,85.0
2022-01-26,88.36514,86.0
2022-01-27,88.36423,90.0
2022-01-28,88.363365,92.0
2022-01-29,88.362564,90.0
2022-01-30,88.36175,87.0
2022-01-31,88.36098,84.0
2022-02-01,88.360306,84.0
2022-02-02,88.35976,87.0
2022-02-03,88.3592,94.0
2022-02-04,88.358635,90.0
2022-02-05,88.35814,88.0
2022-02-06,88.357704,84.0
2022-02-07,88.35731,82.0
2022-02-08,88.3569,86.0
2022-02-09,88.35644,94.0
2022-02-10,88.35604,88.0
2022-02-11,88.35568,88.0
2022-02-12,88.35533,94.0
2022-02-13,88.35497,92.0
2022-02-14,88.35462,87.0
2022-02-15,88.3543,95.0
2022-02-16,88.354,94.0
2022-02-17,88.35371,94.0
2022-02-18,88.35337,96.0
2022-02-19,88.35312,94.0
2022-02-20,88.35275,90.0
2022-02-21,88.35237,89.0
2022-02-22,88.3521,96.0
2022-02-23,88.35161,84.0
2022-02-24,88.35112,85.0
2022-02-25,88.35057,89.0
2022-02-26,88.34861,86.0
2022-02-27,88.34869,87.0
2022-02-28,88.34614,90.0
2022-03-01,88.346115,90.0
2022-03-02,88.3462,93.0
2022-03-03,88.34608,94.0
2022-03-04,88.34506,91.0
2022-03-05,88.34372,89.0
2022-03-06,88.34198,89.0
2022-03-07,88.33975,92.0
2022-03-08,88.3369,89.0
2022-03-09,88.333176,86.0
2022-03-10,88.32823,90.0
2022-03-11,88.32149,90.0
2022-03-12,88.31199,94.0
2022-03-13,88.29819,91.0
2022-03-14,88.277565,84.0
2022-03-15,88.246315,87.0
2022-03-16,88.19947,90.0
2022-03-17,88.132675,91.0
2022-03-18,88.04565,90.0
2022-03-19,87.94445,92.0
2022-03-20,87.83913,93.0
2022-03-21,87.73865,91.0
2022-03-22,87.648285,91.0
2022-03-23,87.570045,90.0
2022-03-24,87.50405,86.0
2022-03-25,87.44962,85.0
2022-03-26,87.405785,86.0
2022-03-27,87.3715,88.0
2022-03-28,87.34575,84.0
2022-03-29,87.32762,93.0
2022-03-30,87.316246,90.0
2022-03-31,87.310844,87.0
