date,Predictions,Actuals
2021-08-15,19.529993,19.3
2021-08-16,19.788301,20.8
2021-08-17,19.835808,19.0
2021-08-18,19.82833,19.4
2021-08-19,19.814728,18.9
2021-08-20,19.804064,20.0
2021-08-21,19.79551,20.0
2021-08-22,19.78689,19.5
2021-08-23,19.777454,19.2
2021-08-24,19.766829,19.0
2021-08-25,19.755089,19.2
2021-08-26,19.742516,18.4
2021-08-27,19.729286,19.6
2021-08-28,19.71572,19.2
2021-08-29,19.701963,20.9
2021-08-30,19.688213,19.0
2021-08-31,19.674648,18.6
2021-09-01,19.661472,18.4
2021-09-02,19.648819,20.4
2021-09-03,19.63681,18.3
2021-09-04,19.625587,20.4
2021-09-05,19.615276,20.8
2021-09-06,19.606007,19.8
2021-09-07,19.597876,20.8
2021-09-08,19.590963,21.0
2021-09-09,19.585413,21.6
2021-09-10,19.581291,20.0
2021-09-11,19.578636,20.8
2021-09-12,19.577387,20.3
2021-09-13,19.577627,20.2
2021-09-14,19.57937,19.8
2021-09-15,19.5826,20.0
2021-09-16,19.587292,20.8
2021-09-17,19.593424,21.0
2021-09-18,19.600887,18.8
2021-09-19,19.609552,20.2
2021-09-20,19.619259,20.8
2021-09-21,19.629929,20.0
2021-09-22,19.641388,20.6
2021-09-23,19.653357,20.1
2021-09-24,19.66562,18.8
2021-09-25,19.677881,20.3
2021-09-26,19.690111,21.6
2021-09-27,19.702036,20.2
2021-09-28,19.714071,20.0
2021-09-29,19.72578,18.4
2021-09-30,19.736382,20.8
2021-10-01,19.746758,20.0
2021-10-02,19.756931,21.2
2021-10-03,19.766552,21.0
2021-10-04,19.774918,20.2
2021-10-05,19.781641,19.8
2021-10-06,19.788387,18.6
2021-10-07,19.794205,18.2
2021-10-08,19.79981,18.8
2021-10-09,19.805508,20.3
2021-10-10,19.81121,19.8
2021-10-11,19.815887,19.6
2021-10-12,19.820118,21.8
2021-10-13,19.824055,19.8
2021-10-14,19.827993,18.9
2021-10-15,19.831266,18.6
2021-10-16,19.834042,17.8
2021-10-17,19.836035,18.6
2021-10-18,19.837095,19.2
2021-10-19,19.83722,20.8
2021-10-20,19.837246,19.4
2021-10-21,19.836737,19.0
2021-10-22,19.835472,20.9
2021-10-23,19.833765,20.2
2021-10-24,19.831362,19.8
2021-10-25,19.82819,18.2
2021-10-26,19.8249,19.3
2021-10-27,19.82111,18.6
2021-10-28,19.816702,18.8
2021-10-29,19.811453,20.6
2021-10-30,19.805738,21.6
2021-10-31,19.800156,19.2
2021-11-01,19.795233,18.1
2021-11-02,19.790379,18.0
2021-11-03,19.785536,19.0
