date,Predictions,Actuals
2021-08-15,27.827545,28.0
2021-08-16,27.967442,27.5
2021-08-17,28.061613,28.8
2021-08-18,28.083477,28.4
2021-08-19,28.063244,27.8
2021-08-20,28.007776,27.7
2021-08-21,27.93426,27.5
2021-08-22,27.85584,28.2
2021-08-23,27.782372,27.9
2021-08-24,27.72007,27.6
2021-08-25,27.679657,26.6
2021-08-26,27.648848,27.2
2021-08-27,27.662487,27.2
2021-08-28,27.662321,27.9
2021-08-29,27.657225,28.4
2021-08-30,27.655575,28.0
2021-08-31,27.626396,28.8
2021-09-01,27.597319,29.2
2021-09-02,27.572565,27.7
2021-09-03,27.553734,28.6
2021-09-04,27.53184,28.4
2021-09-05,27.501028,28.4
2021-09-06,27.46392,27.6
2021-09-07,27.416817,28.8
2021-09-08,27.368984,26.4
2021-09-09,27.334322,24.0
2021-09-10,27.318348,28.7
2021-09-11,27.3027,28.0
2021-09-12,27.302229,25.6
2021-09-13,27.321577,28.4
2021-09-14,27.345182,28.7
2021-09-15,27.370964,27.4
2021-09-16,27.392593,24.3
2021-09-17,27.41232,27.2
2021-09-18,27.433384,25.0
2021-09-19,27.451355,27.4
2021-09-20,27.457373,28.2
2021-09-21,27.453495,29.0
2021-09-22,27.4403,26.2
2021-09-23,27.417099,27.2
2021-09-24,27.376575,27.2
2021-09-25,27.31909,27.8
2021-09-26,27.252384,27.7
2021-09-27,27.164629,28.4
2021-09-28,27.069616,29.7
2021-09-29,26.966988,29.2
2021-09-30,26.896978,29.8
2021-10-01,26.857813,31.4
2021-10-02,26.82807,29.4
2021-10-03,26.807138,27.0
2021-10-04,26.78973,27.2
2021-10-05,26.778475,27.4
2021-10-06,26.777878,28.6
2021-10-07,26.772715,29.2
2021-10-08,26.764343,30.0
2021-10-09,26.76134,28.6
2021-10-10,26.76624,28.2
2021-10-11,26.767786,28.4
2021-10-12,26.773853,28.4
2021-10-13,26.775492,29.9
2021-10-14,26.7674,29.4
2021-10-15,26.762047,29.4
2021-10-16,26.760042,29.4
2021-10-17,26.755669,29.6
2021-10-18,26.751095,30.2
2021-10-19,26.75819,29.1
2021-10-20,26.765951,29.2
2021-10-21,26.775612,28.9
2021-10-22,26.788956,29.6
2021-10-23,26.790741,26.8
2021-10-24,26.807335,27.6
2021-10-25,26.821589,28.9
2021-10-26,26.822557,29.8
2021-10-27,26.826262,28.4
2021-10-28,26.816532,30.2
2021-10-29,26.814075,30.6
2021-10-30,26.813374,27.4
2021-10-31,26.809174,24.3
2021-11-01,26.820202,29.0
2021-11-02,26.842196,28.2
2021-11-03,26.872107,29.9
2021-11-04,26.896759,31.0
2021-11-05,26.919903,27.6
2021-11-06,26.940275,28.0
2021-11-07,26.957247,28.0
2021-11-08,26.969833,29.9
2021-11-09,26.97934,28.6
2021-11-10,26.97699,28.0
2021-11-11,26.955326,30.6
2021-11-12,26.936377,28.4
2021-11-13,26.89797,29.3
2021-11-14,26.871504,27.9
2021-11-15,26.848957,28.5
2021-11-16,26.819553,28.6
2021-11-17,26.801027,26.8
2021-11-18,26.777073,28.0
2021-11-19,26.751596,28.6
2021-11-20,26.771305,28.8
2021-11-21,26.798256,26.8
2021-11-22,26.796513,27.8
2021-11-23,26.78698,28.2
2021-11-24,26.776224,27.6
2021-11-25,26.80109,27.1
2021-11-26,26.80396,26.8
2021-11-27,26.812439,27.2
2021-11-28,26.789171,26.7
2021-11-29,26.767437,28.6
2021-11-30,26.766464,28.4
2021-12-01,26.803286,26.7
2021-12-02,26.795992,29.4
2021-12-03,26.760767,29.4
2021-12-04,26.79633,27.0
2021-12-05,26.901958,28.6
2021-12-06,27.094013,28.6
2021-12-07,27.269032,27.4
2021-12-08,27.38967,25.2
2021-12-09,27.471115,27.0
2021-12-10,27.5201,28.4
2021-12-11,27.542467,28.0
2021-12-12,27.519531,28.0
2021-12-13,27.45954,28.6
2021-12-14,27.445156,28.2
2021-12-15,27.369572,27.0
2021-12-16,27.3208,28.8
2021-12-17,27.284855,29.2
2021-12-18,27.265276,28.4
2021-12-19,27.265316,26.4
2021-12-20,27.276852,25.9
2021-12-21,27.283955,28.4
2021-12-22,27.281048,26.2
2021-12-23,27.267834,25.9
2021-12-24,27.244202,28.2
2021-12-25,27.212145,24.6
2021-12-26,27.175087,26.0
2021-12-27,27.13672,24.6
2021-12-28,27.099268,26.4
2021-12-29,27.063316,26.4
2021-12-30,27.028471,24.6
2021-12-31,26.994013,26.3
2022-01-01,26.959162,24.8
2022-01-02,26.923435,26.8
2022-01-03,26.892546,25.2
2022-01-04,26.905571,25.6
2022-01-05,26.924929,25.3
2022-01-06,26.948118,25.5
2022-01-07,26.974033,25.0
2022-01-08,27.002718,27.2
2022-01-09,27.085146,27.4
2022-01-10,27.210672,27.4
2022-01-11,27.33705,28.0
2022-01-12,27.496119,27.0
2022-01-13,27.65776,28.1
2022-01-14,27.786386,27.5
2022-01-15,27.844868,24.0
2022-01-16,27.829227,25.2
2022-01-17,27.769556,25.8
2022-01-18,27.695414,27.2
2022-01-19,27.621857,26.0
2022-01-20,27.552858,24.9
2022-01-21,27.543173,24.3
2022-01-22,27.525688,25.2
2022-01-23,27.529366,26.9
2022-01-24,27.518864,28.0
2022-01-25,27.50214,28.0
2022-01-26,27.482914,29.3
2022-01-27,27.45377,27.7
2022-01-28,27.41668,27.6
2022-01-29,27.373716,26.2
2022-01-30,27.326693,27.6
2022-01-31,27.276936,27.8
2022-02-01,27.22536,27.0
2022-02-02,27.172573,25.7
2022-02-03,27.118721,25.8
2022-02-04,27.063812,25.6
2022-02-05,27.035942,27.8
2022-02-06,27.045523,28.0
2022-02-07,27.064833,29.4
2022-02-08,27.091604,27.6
2022-02-09,27.123941,26.9
2022-02-10,27.230558,28.2
2022-02-11,27.369583,28.0
2022-02-12,27.531069,27.2
2022-02-13,27.686848,24.7
2022-02-14,27.821085,28.8
2022-02-15,27.921404,27.5
2022-02-16,27.982056,28.0
2022-02-17,28.004173,25.2
2022-02-18,27.993721,25.2
2022-02-19,27.958408,26.9
2022-02-20,27.904442,23.8
2022-02-21,27.894741,24.7
2022-02-22,27.889986,23.4
2022-02-23,27.867754,27.0
2022-02-24,27.817862,27.4
2022-02-25,27.774971,23.9
2022-02-26,27.7354,26.2
2022-02-27,27.680264,27.1
2022-02-28,27.635874,25.0
2022-03-01,27.599245,27.2
2022-03-02,27.558876,27.4
2022-03-03,27.550608,27.3
2022-03-04,27.542866,28.4
2022-03-05,27.518286,28.2
2022-03-06,27.475086,26.8
2022-03-07,27.413738,25.6
2022-03-08,27.349966,25.0
2022-03-09,27.332407,28.3
2022-03-10,27.31713,28.6
2022-03-11,27.322392,28.5
2022-03-12,27.416033,29.6
2022-03-13,27.541895,27.0
2022-03-14,27.689194,28.0
2022-03-15,27.851395,29.3
2022-03-16,28.00365,28.0
2022-03-17,28.119278,28.0
2022-03-18,28.152016,28.2
2022-03-19,28.144192,28.6
2022-03-20,28.109133,23.8
2022-03-21,28.059004,26.9
2022-03-22,28.004175,27.4
2022-03-23,27.95165,25.8
2022-03-24,27.90503,27.8
2022-03-25,27.864944,27.2
2022-03-26,27.858398,27.8
2022-03-27,27.855028,28.5
2022-03-28,27.857332,28.8
2022-03-29,27.817,27.0
2022-03-30,27.751013,26.8
2022-03-31,27.695198,28.2
