date,Predictions,Actuals
2022-01-08,5.295643,8.5
2022-01-09,5.0304503,8.881784197001252e-16
2022-01-10,5.0591397,8.881784197001252e-16
2022-01-11,5.000741,8.881784197001252e-16
2022-01-12,5.201623,6.7
2022-01-13,6.2796383,34.8
2022-01-14,7.271531,8.881784197001252e-16
2022-01-15,7.297931,12.0
2022-01-16,7.44628,2.7
2022-01-17,7.8143687,11.3
2022-01-18,7.8356233,2.0
2022-01-19,8.366241,20.1
2022-01-20,9.781233,5.0
2022-01-21,11.384696,1.1000000000000005
2022-01-22,11.368235,14.0
2022-01-23,12.957986,6.688085106382981
2022-01-24,12.936644,8.881784197001252e-16
2022-01-25,12.936359,16.0
2022-01-26,11.698191,6.688085106382981
2022-01-27,10.046777,2.0
2022-01-28,8.303916,1.8999999999999995
2022-01-29,6.4423203,0.29999999999999893
2022-01-30,4.579764,0.09999999999999964
2022-01-31,2.7462118,8.881784197001252e-16
2022-02-01,1.1048981,8.881784197001252e-16
2022-02-02,-0.006373652,8.881784197001252e-16
2022-02-03,3.0780833,8.881784197001252e-16
2022-02-04,9.900494,17.7
2022-02-05,18.736132,1.2000000000000002
2022-02-06,26.026579,8.881784197001252e-16
2022-02-07,25.906523,1.0
2022-02-08,18.129164,2.5
2022-02-09,11.308185,1.2999999999999998
2022-02-10,10.007046,1.5
2022-02-11,7.77775,1.5
2022-02-12,6.3371725,8.881784197001252e-16
2022-02-13,5.419483,6.4
2022-02-14,4.645132,2.1000000000000005
2022-02-15,3.884892,8.881784197001252e-16
2022-02-16,3.5859885,15.5
2022-02-17,3.623336,3.5000000000000004
2022-02-18,4.302036,17.3
2022-02-19,4.7323546,9.7
2022-02-20,4.979366,8.881784197001252e-16
2022-02-21,5.0759892,12.6
2022-02-22,5.031452,10.3
2022-02-23,4.8442364,2.3999999999999995
2022-02-24,4.5842214,8.881784197001252e-16
2022-02-25,4.370388,4.0
2022-02-26,4.896839,8.881784197001252e-16
2022-02-27,5.4008336,1.2999999999999998
2022-02-28,5.242485,9.6
2022-03-01,4.963684,1.0
2022-03-02,3.909911,8.881784197001252e-16
2022-03-03,6.933283,36.1
2022-03-04,6.642578,7.0
2022-03-05,6.8366156,1.6000000000000005
2022-03-06,6.9495506,60.99999999999999
2022-03-07,6.9745107,5.0
2022-03-08,6.934278,4.2
2022-03-09,6.8059726,1.0
2022-03-10,6.6204247,8.881784197001252e-16
2022-03-11,6.4772587,12.1
2022-03-12,6.279712,8.881784197001252e-16
2022-03-13,4.9159894,19.2
2022-03-14,5.914155,5.2
2022-03-15,5.545681,8.881784197001252e-16
2022-03-16,5.178824,6.688085106382982
2022-03-17,5.067699,1.5
2022-03-18,5.2020664,16.8
2022-03-19,5.106485,0.40000000000000036
2022-03-20,4.978265,5.5
2022-03-21,4.8261805,5.0
2022-03-22,4.668514,0.7999999999999998
2022-03-23,4.4740214,7.0
2022-03-24,4.2685847,0.5
2022-03-25,4.051351,6.688085106382982
2022-03-26,3.8426657,6.688085106382983
2022-03-27,3.678748,6.688085106382983
2022-03-28,3.45923,8.881784197001252e-16
2022-03-29,3.580386,8.881784197001252e-16
2022-03-30,4.2688985,36.7
2022-03-31,4.530964,8.881784197001252e-16
