date,Predictions,Actuals
2021-08-15,4.762516,4.9
2021-08-16,4.167703,8.6
2021-08-17,3.752661,5.2
2021-08-18,3.5193703,9.1
2021-08-19,3.4277732,6.1
2021-08-20,3.4450889,2.6
2021-08-21,3.5415852,7.2
2021-08-22,3.709231,2.4
2021-08-23,3.9134285,8.8
2021-08-24,4.2143345,3.3
2021-08-25,4.4930673,2.2
2021-08-26,4.703679,0.09999999999999964
2021-08-27,4.846889,3.4
2021-08-28,4.9528522,3.2
2021-08-29,5.020889,4.4
2021-08-30,5.06791,7.8
2021-08-31,5.121036,6.1
2021-09-01,5.1866837,9.3
2021-09-02,5.2582903,7.9
2021-09-03,5.3236313,2.3
2021-09-04,5.369094,8.1
2021-09-05,5.3913713,5.2
2021-09-06,5.3803086,2.3
2021-09-07,5.3519807,1.9
2021-09-08,5.2789288,3.1
2021-09-09,5.179315,3.8
2021-09-10,5.069853,0.0
2021-09-11,4.9635806,6.4
2021-09-12,4.8502693,1.0000000000000004
2021-09-13,4.715791,0.09999999999999964
2021-09-14,4.5625725,6.0
2021-09-15,4.401167,6.4
2021-09-16,4.2324395,3.0
2021-09-17,4.129456,0.0
2021-09-18,4.0559535,0.20000000000000018
2021-09-19,4.0251694,0.0
2021-09-20,4.0073786,6.0
2021-09-21,3.9659965,3.4
2021-09-22,3.8853614,2.0
2021-09-23,3.7903688,0.0
2021-09-24,3.690622,3.4
2021-09-25,3.5808265,4.2
2021-09-26,3.4681273,3.8
2021-09-27,3.3645601,7.9
2021-09-28,3.2746847,7.3
2021-09-29,3.2040212,6.3
2021-09-30,3.187607,8.2
2021-10-01,3.1618938,8.3
2021-10-02,3.2332904,5.1
2021-10-03,3.3537393,1.1
2021-10-04,3.5335631,3.0
2021-10-05,3.7183793,1.7999999999999998
2021-10-06,3.9688468,8.7
2021-10-07,4.3471093,8.7
2021-10-08,4.887851,8.6
2021-10-09,5.691384,6.9
2021-10-10,6.5687056,4.4
2021-10-11,7.2516766,4.6
2021-10-12,7.5953555,6.2
2021-10-13,7.739577,4.3
2021-10-14,7.6868944,4.2
2021-10-15,7.462629,7.5
2021-10-16,7.2065496,7.0
2021-10-17,6.972621,4.9
2021-10-18,6.7525215,9.6
2021-10-19,6.5352664,7.3
2021-10-20,6.319805,7.3
2021-10-21,6.1042814,9.0
2021-10-22,5.893436,4.3
2021-10-23,5.6993194,5.1
2021-10-24,5.506941,2.0
2021-10-25,5.3890796,3.4
2021-10-26,5.2997394,7.5
2021-10-27,5.2119703,6.9
2021-10-28,5.116407,6.0
2021-10-29,5.0123935,7.700000000000001
2021-10-30,4.8352094,6.0
2021-10-31,4.5613146,4.4
2021-11-01,4.253873,0.0
2021-11-02,3.9313061,7.8
2021-11-03,3.6193018,4.3
2021-11-04,3.3428147,5.3
2021-11-05,3.1847935,8.9
2021-11-06,3.281723,3.4
2021-11-07,3.5571048,2.0
2021-11-08,4.0050254,5.4
2021-11-09,4.6576743,4.1
2021-11-10,5.5100346,6.1
2021-11-11,5.845558,6.8
2021-11-12,5.9009776,6.5
2021-11-13,5.647524,5.2
2021-11-14,5.346923,3.1
2021-11-15,5.0890703,1.2999999999999998
2021-11-16,5.0911784,3.8
2021-11-17,5.31247,6.7
2021-11-18,5.5407877,1.0000000000000004
2021-11-19,5.6201477,3.5
2021-11-20,5.618086,6.4
2021-11-21,5.5791063,4.9
2021-11-22,5.49756,1.2999999999999998
2021-11-23,5.2611156,2.6
2021-11-24,4.969287,5.1
2021-11-25,4.6591334,3.2
2021-11-26,4.4140697,0.0
2021-11-27,4.184625,3.9
2021-11-28,3.958521,2.5
2021-11-29,3.791058,2.7
2021-11-30,3.6782517,5.1
2021-12-01,3.6761088,0.0
2021-12-02,3.699909,1.0000000000000004
2021-12-03,3.7511084,4.2
2021-12-04,3.8472552,6.8
2021-12-05,3.925643,2.2
2021-12-06,3.833513,0.0
2021-12-07,3.717006,8.0
2021-12-08,3.596819,1.6
2021-12-09,3.470847,0.0
2021-12-10,3.3298726,4.7
2021-12-11,3.1958988,7.9
2021-12-12,3.0783806,6.7
2021-12-13,2.979426,3.9
2021-12-14,2.925762,4.7
2021-12-15,2.8821123,6.5
2021-12-16,2.894392,3.4
2021-12-17,2.9996896,7.9
2021-12-18,3.1271374,1.3999999999999995
2021-12-19,3.3935716,2.9
2021-12-20,3.7226236,0.0
2021-12-21,4.1213517,0.0
2021-12-22,4.6453376,0.0
2021-12-23,5.4289026,4.1
2021-12-24,6.0521145,0.0
2021-12-25,6.4036627,6.6
2021-12-26,6.545778,0.2999999999999998
2021-12-27,6.555029,0.7000000000000002
2021-12-28,6.5025926,0.0
2021-12-29,6.422291,0.0
2021-12-30,6.3158226,6.2
2021-12-31,6.1813536,1.6
2022-01-01,6.0155096,0.0
2022-01-02,5.797819,3.3
2022-01-03,5.535924,0.0
2022-01-04,5.2548194,1.0000000000000004
2022-01-05,4.9676895,1.6
2022-01-06,4.6848006,0.0
2022-01-07,4.4198866,0.0
2022-01-08,4.158678,0.0
2022-01-09,3.903209,6.6
2022-01-10,3.6552317,6.4
2022-01-11,3.4246237,4.8
2022-01-12,3.2224298,4.6
2022-01-13,3.0769258,3.6
2022-01-14,3.0831015,4.1
2022-01-15,3.1448307,4.6
2022-01-16,3.2537646,0.0
2022-01-17,3.4003875,3.2
2022-01-18,3.5766988,1.6
2022-01-19,3.7758121,3.0
2022-01-20,4.055054,0.8999999999999999
2022-01-21,4.4103026,0.0
2022-01-22,4.6677213,0.20000000000000018
2022-01-23,4.669229,0.0
2022-01-24,4.513954,5.5
2022-01-25,4.2696466,5.9
2022-01-26,4.1815805,5.2
2022-01-27,4.2321267,6.3
2022-01-28,4.3757815,4.4
2022-01-29,4.549193,6.8
2022-01-30,4.695129,1.7999999999999998
2022-01-31,4.7809334,6.4
2022-02-01,4.8002872,9.0
2022-02-02,4.763156,4.6
2022-02-03,4.684513,2.2
2022-02-04,4.5779777,1.2999999999999998
2022-02-05,4.4542265,0.20000000000000018
2022-02-06,4.2987294,8.4
2022-02-07,4.1234946,5.8
2022-02-08,3.9485898,5.8
2022-02-09,3.7831736,5.3
2022-02-10,3.5197222,0.0
2022-02-11,3.1795752,6.0
2022-02-12,2.9208047,6.3
2022-02-13,2.7336776,2.1
2022-02-14,2.6003585,0.0
2022-02-15,2.5321934,4.9
2022-02-16,2.5270622,3.9
2022-02-17,2.5631773,5.4
2022-02-18,2.6227841,0.0
2022-02-19,2.6961782,0.09999999999999964
2022-02-20,2.7805805,0.2999999999999998
2022-02-21,2.876356,0.0
2022-02-22,2.9836087,0.0
2022-02-23,3.1046166,0.0
2022-02-24,3.25314,8.0
2022-02-25,3.433724,7.4
2022-02-26,3.6610925,0.0
2022-02-27,3.9547105,5.5
2022-02-28,4.3340554,5.6
2022-03-01,5.028011,0.20000000000000018
2022-03-02,5.7215004,7.700000000000001
2022-03-03,6.2093444,2.5
2022-03-04,6.439472,0.7999999999999998
2022-03-05,6.6067896,2.6
2022-03-06,6.766077,4.3
2022-03-07,6.9084387,2.9
2022-03-08,6.828826,1.7000000000000002
2022-03-09,6.6051846,0.0
2022-03-10,6.314512,7.0
2022-03-11,5.9059887,5.5
2022-03-12,5.3805795,2.6
2022-03-13,4.8416543,4.8
2022-03-14,4.3560834,1.7000000000000002
2022-03-15,4.0412903,3.1
2022-03-16,3.7795084,3.9
2022-03-17,3.5597925,4.1
2022-03-18,3.3400238,0.6000000000000005
2022-03-19,3.1428974,4.4
2022-03-20,2.9715977,5.5
2022-03-21,2.970588,0.0
2022-03-22,3.0413792,0.20000000000000018
2022-03-23,3.1585963,3.1
2022-03-24,3.3112528,0.0
2022-03-25,3.4896393,4.4
2022-03-26,3.6853385,0.0
2022-03-27,3.886164,3.3
2022-03-28,4.120798,7.6
2022-03-29,4.4324713,6.2
2022-03-30,4.573436,2.5
2022-03-31,4.5091667,3.5
